"divenum","event","round","year","competition","judge_id","rank","name","dcountry","divecode","DD","divepts","diverank","totalpts","overallrank","pointsbehind","judges_score","judge_name","jcountry","gender"
1," men's 10m platform","final",2015,"World_Series_Beijing","J5",6,"DOLGOV Maxsym","UKR","407C",3.2,"81.60","4",81.6,"4",12.9,8.5,"LEE William","SGP","Male"
1," men's 10m platform","final",2015,"World_Series_Beijing","J5",2,"BOUDIA David","USA","407C",3.2,"76.80","5",76.8,"5",17.7,8,"LEE William","SGP","Male"
1," men's 10m platform","final",2015,"World_Series_Beijing","J5",5,"SANCHEZ German","MEX","207C",3.3,"66.00","6",66,"6",28.5,7.5,"LEE William","SGP","Male"
1," men's 10m platform","final",2015,"World_Series_Beijing","J5",3,"KLEIN Sascha","GER","407C",3.2,"86.40","3",86.4,"3",8.1,9,"LEE William","SGP","Male"
1," men's 10m platform","final",2015,"World_Series_Beijing","J5",4,"QIU Bo","CHN","407B",3.5,"94.50","1",94.5,"1",0,9,"LEE William","SGP","Male"
1," men's 10m platform","final",2015,"World_Series_Beijing","J5",1,"YANG Jian","CHN","407B",3.5,"89.25","2",89.25,"2",5.25,8.5,"LEE William","SGP","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J2",2,"DALEY Thomas","GBR","626B",3.5,"89.25","3",89.25,"3",15.75,8.5,"AVASILOAE Florin","ROU","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J2",1,"QIU Bo","CHN","407B",3.5,"105.00","1",105,"1",0,10,"AVASILOAE Florin","ROU","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J2",3,"YANG Jian","CHN","407B",3.5,"87.50","4",87.5,"4",17.5,8.5,"AVASILOAE Florin","ROU","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J2",6,"KLEIN Sascha","GER","407C",3.2,"89.60","2",89.6,"2",15.4,9.5,"AVASILOAE Florin","ROU","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J2",5,"BOUDIA David","USA","407C",3.2,"76.80","6",76.8,"6",28.2,7.5,"AVASILOAE Florin","ROU","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J2",4,"GARCIA Ivan","MEX","207C",3.3,"79.20","5",79.2,"5",25.8,8,"AVASILOAE Florin","ROU","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J3",6,"KLEIN Sascha","GER","407C",3.2,"89.60","2",89.6,"2",15.4,10,"ZAMPIERI Marco","ITA","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J3",1,"QIU Bo","CHN","407B",3.5,"105.00","1",105,"1",0,10,"ZAMPIERI Marco","ITA","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J3",2,"DALEY Thomas","GBR","626B",3.5,"89.25","3",89.25,"3",15.75,8.5,"ZAMPIERI Marco","ITA","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J3",4,"GARCIA Ivan","MEX","207C",3.3,"79.20","5",79.2,"5",25.8,8,"ZAMPIERI Marco","ITA","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J3",3,"YANG Jian","CHN","407B",3.5,"87.50","4",87.5,"4",17.5,9,"ZAMPIERI Marco","ITA","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J3",5,"BOUDIA David","USA","407C",3.2,"76.80","6",76.8,"6",28.2,8.5,"ZAMPIERI Marco","ITA","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J4",2,"DALEY Thomas","GBR","626B",3.5,"89.25","3",89.25,"3",15.75,8.5,"TOULOUDIS Nikolaos","GRE","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J4",4,"GARCIA Ivan","MEX","207C",3.3,"79.20","5",79.2,"5",25.8,8.5,"TOULOUDIS Nikolaos","GRE","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J4",5,"BOUDIA David","USA","407C",3.2,"76.80","6",76.8,"6",28.2,8,"TOULOUDIS Nikolaos","GRE","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J4",3,"YANG Jian","CHN","407B",3.5,"87.50","4",87.5,"4",17.5,8,"TOULOUDIS Nikolaos","GRE","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J4",1,"QIU Bo","CHN","407B",3.5,"105.00","1",105,"1",0,9.5,"TOULOUDIS Nikolaos","GRE","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J4",6,"KLEIN Sascha","GER","407C",3.2,"89.60","2",89.6,"2",15.4,9,"TOULOUDIS Nikolaos","GRE","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J6",3,"YANG Jian","CHN","407B",3.5,"87.50","4",87.5,"4",17.5,8.5,"AXTELIUS Peter","SWE","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J6",4,"GARCIA Ivan","MEX","207C",3.3,"79.20","5",79.2,"5",25.8,8,"AXTELIUS Peter","SWE","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J6",5,"BOUDIA David","USA","407C",3.2,"76.80","6",76.8,"6",28.2,8,"AXTELIUS Peter","SWE","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J6",6,"KLEIN Sascha","GER","407C",3.2,"89.60","2",89.6,"2",15.4,9.5,"AXTELIUS Peter","SWE","Male"
1," men's 10m platform","final",2015,"World_Series_Dubai","J6",1,"QIU Bo","CHN","407B",3.5,"105.00","1",105,"1",0,10,"AXTELIUS Peter","SWE","Male"
