"event","level","Rank","Name","NAT","round","DD","Score","judge_num","judge_name"
" men's 10m platform","final",1,"DALEY Thomas","GBR","1",3.4,9.5,1," PEREZ CANASVERAS Angel Luis"
" men's 10m platform","final",1,"DALEY Thomas","GBR","1",3.4,9.5,2," WRIGHT Lisa"
" men's 10m platform","final",1,"DALEY Thomas","GBR","1",3.4,9,3," RAO Lang"
" men's 10m platform","final",1,"DALEY Thomas","GBR","1",3.4,9,4," AXTELIUS Peter"
" men's 10m platform","final",1,"DALEY Thomas","GBR","1",3.4,9,5," PRANARTA Pranarta"
" men's 10m platform","final",1,"DALEY Thomas","GBR","1",3.4,9,6," SZEKFFY Nora"
" men's 10m platform","final",1,"DALEY Thomas","GBR","1",3.4,9,7," GOLOVAN Anatoliy"
" men's 10m platform","final",1,"DALEY Thomas","GBR","2",3.2,9.5,1," PEREZ CANASVERAS Angel Luis"
" men's 10m platform","final",1,"DALEY Thomas","GBR","2",3.2,8,2," WRIGHT Lisa"
" men's 10m platform","final",1,"DALEY Thomas","GBR","2",3.2,8.5,3," RAO Lang"
" men's 10m platform","final",1,"DALEY Thomas","GBR","2",3.2,8.5,4," AXTELIUS Peter"
" men's 10m platform","final",1,"DALEY Thomas","GBR","2",3.2,9,5," PRANARTA Pranarta"
" men's 10m platform","final",1,"DALEY Thomas","GBR","2",3.2,8.5,6," SZEKFFY Nora"
" men's 10m platform","final",1,"DALEY Thomas","GBR","2",3.2,8.5,7," GOLOVAN Anatoliy"
" men's 10m platform","final",1,"DALEY Thomas","GBR","3",3.6,9,1," PEREZ CANASVERAS Angel Luis"
" men's 10m platform","final",1,"DALEY Thomas","GBR","3",3.6,8.5,2," WRIGHT Lisa"
" men's 10m platform","final",1,"DALEY Thomas","GBR","3",3.6,8.5,3," RAO Lang"
" men's 10m platform","final",1,"DALEY Thomas","GBR","3",3.6,8.5,4," AXTELIUS Peter"
" men's 10m platform","final",1,"DALEY Thomas","GBR","3",3.6,9,5," PRANARTA Pranarta"
" men's 10m platform","final",1,"DALEY Thomas","GBR","3",3.6,7.5,6," SZEKFFY Nora"
" men's 10m platform","final",1,"DALEY Thomas","GBR","3",3.6,8,7," GOLOVAN Anatoliy"
" men's 10m platform","final",1,"DALEY Thomas","GBR","4",3.5,9,1," PEREZ CANASVERAS Angel Luis"
