"num","name","round","level","event"
"1"," BARTH Michael",1,"preliminary"," men's 3m springboard"
"2"," SHEPHERD Kathleen",1,"preliminary"," men's 3m springboard"
"3"," GOLOVAN Anatoliy",1,"preliminary"," men's 3m springboard"
"4"," ASADA Masako",1,"preliminary"," men's 3m springboard"
"5"," PETERSON Gord",1,"preliminary"," men's 3m springboard"
"6"," SANTOS Isabel",1,"preliminary"," men's 3m springboard"
"7"," TOULOUDIS Nikolaos",1,"preliminary"," men's 3m springboard"
"1"," BARTH Michael",2,"preliminary"," men's 3m springboard"
"2"," SHEPHERD Kathleen",2,"preliminary"," men's 3m springboard"
"3"," GOLOVAN Anatoliy",2,"preliminary"," men's 3m springboard"
"4"," ASADA Masako",2,"preliminary"," men's 3m springboard"
"5"," PETERSON Gord",2,"preliminary"," men's 3m springboard"
"6"," SANTOS Isabel",2,"preliminary"," men's 3m springboard"
"7"," TOULOUDIS Nikolaos",2,"preliminary"," men's 3m springboard"
"1"," BARTH Michael",5,"preliminary"," men's 3m springboard"
"2"," SHEPHERD Kathleen",5,"preliminary"," men's 3m springboard"
"3"," GOLOVAN Anatoliy",5,"preliminary"," men's 3m springboard"
"4"," ASADA Masako",5,"preliminary"," men's 3m springboard"
"5"," PETERSON Gord",5,"preliminary"," men's 3m springboard"
"6"," SANTOS Isabel",5,"preliminary"," men's 3m springboard"
"7"," TOULOUDIS Nikolaos",5,"preliminary"," men's 3m springboard"
"1"," FRASER Lindsey Ann",3,"preliminary"," men's 3m springboard"
"2"," ROCHA CHAVEZ Sergio",3,"preliminary"," men's 3m springboard"
"3"," WIERNIUK Anna",3,"preliminary"," men's 3m springboard"
"4"," GUAYACAN CONTRERAS Juan Carlos",3,"preliminary"," men's 3m springboard"
"5"," PEREZ CANASVERAS Angel Luis",3,"preliminary"," men's 3m springboard"
"6"," RAO Lang",3,"preliminary"," men's 3m springboard"
"7"," SIEFKEN Jann Hendrik",3,"preliminary"," men's 3m springboard"
"1"," FRASER Lindsey Ann",4,"preliminary"," men's 3m springboard"
"2"," ROCHA CHAVEZ Sergio",4,"preliminary"," men's 3m springboard"
"3"," WIERNIUK Anna",4,"preliminary"," men's 3m springboard"
"4"," GUAYACAN CONTRERAS Juan Carlos",4,"preliminary"," men's 3m springboard"
"5"," PEREZ CANASVERAS Angel Luis",4,"preliminary"," men's 3m springboard"
"6"," RAO Lang",4,"preliminary"," men's 3m springboard"
"7"," SIEFKEN Jann Hendrik",4,"preliminary"," men's 3m springboard"
"1"," FRASER Lindsey Ann",6,"preliminary"," men's 3m springboard"
"2"," ROCHA CHAVEZ Sergio",6,"preliminary"," men's 3m springboard"
"3"," WIERNIUK Anna",6,"preliminary"," men's 3m springboard"
"4"," GUAYACAN CONTRERAS Juan Carlos",6,"preliminary"," men's 3m springboard"
"5"," PEREZ CANASVERAS Angel Luis",6,"preliminary"," men's 3m springboard"
"6"," RAO Lang",6,"preliminary"," men's 3m springboard"
"7"," SIEFKEN Jann Hendrik",6,"preliminary"," men's 3m springboard"
"1"," FEOKTISTOV Eduard",1,"preliminary","women's 3m springboard"
"2"," GUAYACAN CONTRERAS Juan Carlos",1,"preliminary","women's 3m springboard"
"3"," van der VOORT Ronald",1,"preliminary","women's 3m springboard"
"4"," SANTOS Isabel",1,"preliminary","women's 3m springboard"
"5"," SCHLEPPS Holger",1,"preliminary","women's 3m springboard"
"6"," PRANARTA Pranarta",1,"preliminary","women's 3m springboard"
"7"," DAW Yehia Zakaria Yehia",1,"preliminary","women's 3m springboard"
"1"," FEOKTISTOV Eduard",2,"preliminary","women's 3m springboard"
"2"," GUAYACAN CONTRERAS Juan Carlos",2,"preliminary","women's 3m springboard"
"3"," van der VOORT Ronald",2,"preliminary","women's 3m springboard"
"4"," SANTOS Isabel",2,"preliminary","women's 3m springboard"
"5"," SCHLEPPS Holger",2,"preliminary","women's 3m springboard"
"6"," PRANARTA Pranarta",2,"preliminary","women's 3m springboard"
"7"," DAW Yehia Zakaria Yehia",2,"preliminary","women's 3m springboard"
"1"," FEOKTISTOV Eduard",5,"preliminary","women's 3m springboard"
"2"," GUAYACAN CONTRERAS Juan Carlos",5,"preliminary","women's 3m springboard"
"3"," van der VOORT Ronald",5,"preliminary","women's 3m springboard"
"4"," SANTOS Isabel",5,"preliminary","women's 3m springboard"
"5"," SCHLEPPS Holger",5,"preliminary","women's 3m springboard"
"6"," PRANARTA Pranarta",5,"preliminary","women's 3m springboard"
