"Rank","Name","NAT","Dive No.","DD","J1","J2","J3","J4","J5","J6","J7","Dive Points","Dive Rank","Total Points","Overall Rank","Points Behind","level","event"
"1","GOODFELLOW Daniel","GBR","5154B","3.4","8.0","7.5","7.5","7.0","6.5","7.5","7.0","74.80","1","74.80","1",NA,"preliminary"," men's 3m springboard"
"1","GOODFELLOW Daniel","GBR","407C","3.4","8.5","8.5","7.0","7.5","7.5","7.5","7.0","76.50","3","151.30","1",NA,"preliminary"," men's 3m springboard"
"1","GOODFELLOW Daniel","GBR","307C","3.5","8.5","8.0","8.0","8.5","9.0","8.5","8.0","87.50","1","238.80","1",NA,"preliminary"," men's 3m springboard"
"1","GOODFELLOW Daniel","GBR","5156B","3.9","7.0","7.0","5.5","7.0","6.5","7.0","7.5","81.90","4","320.70","1",NA,"preliminary"," men's 3m springboard"
"1","GOODFELLOW Daniel","GBR","109C","3.8","8.0","8.5","8.0","8.0","8.0","7.5","7.0","91.20","1","411.90","1",NA,"preliminary"," men's 3m springboard"
"1","GOODFELLOW Daniel","GBR","207C","3.6","7.0","7.0","7.0","7.0","7.0","7.5","7.5","75.60","5","487.50","1",NA,"preliminary"," men's 3m springboard"
"2","HEATLY James","GBR","205B","3.0","7.0","7.0","7.0","8.0","8.0","8.0","7.0","66.00","=15","66.00","=15","8.80","preliminary"," men's 3m springboard"
"2","HEATLY James","GBR","407C","3.4","7.5","7.0","6.5","7.5","6.5","7.5","7.0","73.10","=4","139.10","7","12.20","preliminary"," men's 3m springboard"
"2","HEATLY James","GBR","5154B","3.4","8.0","7.5","7.5","8.0","8.0","8.0","7.5","79.90","3","219.00","4","19.80","preliminary"," men's 3m springboard"
"2","HEATLY James","GBR","307C","3.5","8.0","7.5","7.5","7.5","8.0","8.0","8.5","82.25","=2","301.25","3","19.45","preliminary"," men's 3m springboard"
"2","HEATLY James","GBR","5337D","3.5","8.0","7.5","8.5","8.5","8.5","8.0","7.5","85.75","2","387.00","2","24.90","preliminary"," men's 3m springboard"
"2","HEATLY James","GBR","109C","3.8","8.0","8.0","7.5","8.0","8.0","8.0","7.5","91.20","1","478.20","2","9.30","preliminary"," men's 3m springboard"
"3","WOLFRAM Martin","GER","205B","3.0","8.5","8.5","8.0","7.5","7.0","7.5","7.5","69.00","9","69.00","9","5.80","preliminary"," men's 3m springboard"
"3","WOLFRAM Martin","GER","5337D","3.5","7.5","7.0","8.0","7.5","7.5","8.0","7.5","78.75","2","147.75","2","3.55","preliminary"," men's 3m springboard"
"3","WOLFRAM Martin","GER","307C","3.5","7.5","6.5","7.0","7.0","6.0","7.0","7.0","73.50","9","221.25","2","17.55","preliminary"," men's 3m springboard"
"3","WOLFRAM Martin","GER","407C","3.4","7.0","6.5","7.5","7.0","7.0","7.5","7.0","71.40","=11","292.65","4","28.05","preliminary"," men's 3m springboard"
"3","WOLFRAM Martin","GER","107B","3.1","8.0","8.0","8.0","8.0","7.5","8.5","8.0","74.40","8","367.05","4","44.85","preliminary"," men's 3m springboard"
"3","WOLFRAM Martin","GER","5154B","3.4","8.0","7.5","7.5","7.0","8.0","8.0","8.0","79.90","2","446.95","3","40.55","preliminary"," men's 3m springboard"
"4","JANDARD Alexis","FRA","405B","3.0","7.0","7.0","6.5","7.5","7.0","7.0","7.0","63.00","=24","63.00","=24","11.80","preliminary"," men's 3m springboard"
"4","JANDARD Alexis","FRA","107B","3.1","7.5","8.0","7.5","7.0","7.5","8.0","8.0","71.30","=10","134.30","15","17.00","preliminary"," men's 3m springboard"
"4","JANDARD Alexis","FRA","205B","3.0","7.0","7.0","7.0","6.5","6.5","7.0","6.5","61.50","=26","195.80","16","43.00","preliminary"," men's 3m springboard"
"4","JANDARD Alexis","FRA","5337D","3.5","8.0","8.0","8.5","9.0","8.0","8.0","7.5","84.00","1","279.80","9","40.90","preliminary"," men's 3m springboard"
"4","JANDARD Alexis","FRA","307C","3.5","8.0","8.5","7.5","7.0","7.0","7.5","7.5","78.75","6","358.55","5","53.35","preliminary"," men's 3m springboard"
"4","JANDARD Alexis","FRA","5154B","3.4","7.0","8.0","7.5","7.0","7.5","7.5","7.0","74.80","7","433.35","4","54.15","preliminary"," men's 3m springboard"
"5","WOO Haram","KOR","5154B","3.4","7.0","6.5","7.0","6.5","7.0","7.0","6.5","69.70","8","69.70","8","5.10","preliminary"," men's 3m springboard"
"5","WOO Haram","KOR","407C","3.4","6.5","8.5","7.0","7.5","7.0","7.0","7.0","71.40","=7","141.10","6","10.20","preliminary"," men's 3m springboard"
"5","WOO Haram","KOR","109C","3.8","7.0","7.0","7.0","7.0","7.0","7.0","7.0","79.80","4","220.90","3","17.90","preliminary"," men's 3m springboard"
"5","WOO Haram","KOR","307C","3.5","8.0","7.0","7.5","8.0","7.0","8.5","8.0","82.25","=2","303.15","2","17.55","preliminary"," men's 3m springboard"
"5","WOO Haram","KOR","207C","3.6","7.0","8.0","7.0","6.5","7.0","7.0","7.0","75.60","7","378.75","3","33.15","preliminary"," men's 3m springboard"
"5","WOO Haram","KOR","5156B","3.9","4.5","5.0","4.5","6.5","4.0","4.5","4.5","52.65","43","431.40","5","56.10","preliminary"," men's 3m springboard"
"6","AREVALO ALCON Alberto","ESP","405B","3.0","7.0","7.5","7.0","7.0","7.5","7.0","7.0","63.00","=24","63.00","=24","11.80","preliminary"," men's 3m springboard"
"6","AREVALO ALCON Alberto","ESP","5154B","3.4","6.5","7.0","6.5","7.0","7.5","7.5","7.0","71.40","=7","134.40","=13","16.90","preliminary"," men's 3m springboard"
"6","AREVALO ALCON Alberto","ESP","207C","3.6","7.0","6.0","6.5","7.0","7.0","7.0","7.0","75.60","7","210.00","7","28.80","preliminary"," men's 3m springboard"
"6","AREVALO ALCON Alberto","ESP","307C","3.5","7.0","6.5","7.0","6.0","7.0","7.0","7.0","73.50","9","283.50","5","37.20","preliminary"," men's 3m springboard"
