"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","CAO Yuan","CHN",1,"407C","3.4","8.5","8.0","7.5","8.0","8.0","8.0","7.5","81.60","=1","81.60","=1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",2,"5154B","3.4","8.5","8.5","9.0","8.5","8.5","8.5","8.5","86.70","1","168.30","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",3,"307C","3.5","7.5","8.0","7.5","7.5","7.0","7.0","7.0","77.00","2","245.30","2","1.45"," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",4,"207C","3.6","7.5","7.0","7.5","7.0","8.0","8.0","7.0","79.20","=1","324.50","2","0.45"," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",5,"5337D","3.5","9.0","8.5","8.0","8.5","8.5","8.0","8.0","87.50","1","412.00","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",6,"109C","3.8","8.5","8.0","8.5","8.0","7.5","7.5","7.5","89.30","2","501.30","1",""," men's 3m springboard","semifinal a"
"2","KUZNETSOV Evgeny","RUS",1,"407C","3.4","7.5","7.5","8.0","7.5","7.5","7.0","8.0","76.50","4","76.50","4","5.10"," men's 3m springboard","semifinal a"
"2","KUZNETSOV Evgeny","RUS",2,"207C","3.6","7.0","8.0","7.5","7.0","7.5","7.5","8.0","81.00","2","157.50","2","10.80"," men's 3m springboard","semifinal a"
"2","KUZNETSOV Evgeny","RUS",3,"307C","3.5","8.0","9.0","8.0","8.5","8.5","8.5","8.5","89.25","1","246.75","1",""," men's 3m springboard","semifinal a"
"2","KUZNETSOV Evgeny","RUS",4,"5154B","3.4","7.5","8.0","7.5","8.0","7.5","7.5","8.0","78.20","4","324.95","1",""," men's 3m springboard","semifinal a"
"2","KUZNETSOV Evgeny","RUS",5,"5253B","3.4","6.5","7.5","7.0","7.0","7.5","7.5","7.5","74.80","=4","399.75","2","12.25"," men's 3m springboard","semifinal a"
"2","KUZNETSOV Evgeny","RUS",6,"109C","3.8","7.5","8.5","8.5","8.5","8.0","8.5","8.5","96.90","1","496.65","2","4.65"," men's 3m springboard","semifinal a"
"3","ZAKHAROV Ilia","RUS",1,"407C","3.4","8.5","8.0","8.0","7.5","7.5","8.5","8.0","81.60","=1","81.60","=1",""," men's 3m springboard","semifinal a"
"3","ZAKHAROV Ilia","RUS",2,"207C","3.6","6.0","7.0","6.5","6.5","6.5","6.0","6.5","70.20","3","151.80","3","16.50"," men's 3m springboard","semifinal a"
"3","ZAKHAROV Ilia","RUS",3,"307C","3.5","7.5","7.0","6.5","6.5","6.5","6.0","6.5","68.25","4","220.05","3","26.70"," men's 3m springboard","semifinal a"
"3","ZAKHAROV Ilia","RUS",4,"107B","3.1","8.0","8.5","8.0","8.5","8.5","8.5","8.5","79.05","3","299.10","3","25.85"," men's 3m springboard","semifinal a"
"3","ZAKHAROV Ilia","RUS",5,"5154B","3.4","8.0","7.0","7.5","7.5","7.5","6.5","7.0","74.80","=4","373.90","3","38.10"," men's 3m springboard","semifinal a"
"3","ZAKHAROV Ilia","RUS",6,"109C","3.8","8.0","8.0","7.5","7.5","8.0","7.0","7.5","87.40","3","461.30","3","40.00"," men's 3m springboard","semifinal a"
"4","PACHECO Rommel","MEX",1,"407C","3.4","8.0","8.0","7.5","7.0","8.0","7.5","6.5","78.20","3","78.20","3","3.40"," men's 3m springboard","semifinal a"
"4","PACHECO Rommel","MEX",2,"205B","3.0","6.5","6.5","7.0","6.0","7.0","7.5","7.0","61.50","6","139.70","4","28.60"," men's 3m springboard","semifinal a"
"4","PACHECO Rommel","MEX",3,"5154B","3.4","7.5","7.5","7.5","7.5","7.5","7.5","7.5","76.50","3","216.20","4","30.55"," men's 3m springboard","semifinal a"
"4","PACHECO Rommel","MEX",4,"5353B","3.3","7.5","8.0","8.0","8.0","8.0","8.0","7.5","79.20","=1","295.40","4","29.55"," men's 3m springboard","semifinal a"
"4","PACHECO Rommel","MEX",5,"307C","3.5","7.5","7.0","7.0","7.0","7.5","7.5","6.5","75.25","3","370.65","4","41.35"," men's 3m springboard","semifinal a"
"4","PACHECO Rommel","MEX",6,"109C","3.8","8.0","7.5","8.0","7.0","7.0","7.5","7.0","83.60","4","454.25","4","47.05"," men's 3m springboard","semifinal a"
"5","IMBEAU-DULAC Francois","CAN",1,"405B","3.0","7.5","7.5","7.0","7.5","7.0","8.0","7.5","67.50","5","67.50","5","14.10"," men's 3m springboard","semifinal a"
"5","IMBEAU-DULAC Francois","CAN",2,"107B","3.1","7.0","8.0","7.5","7.5","7.0","7.5","7.0","68.20","4","135.70","5","32.60"," men's 3m springboard","semifinal a"
"5","IMBEAU-DULAC Francois","CAN",3,"205B","3.0","7.0","7.5","7.0","7.0","6.0","6.5","7.0","63.00","6","198.70","5","48.05"," men's 3m springboard","semifinal a"
