"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","PACHECO Rommel","MEX",1,"407C","3.4","9.0","8.5","9.0","8.5","9.0","8.5","8.0","88.40","1","88.40","1",""," men's 3m springboard","semifinal a"
"1","PACHECO Rommel","MEX",2,"205B","3.0","7.0","8.0","8.0","7.5","8.0","8.0","7.5","70.50","5","158.90","3","2.60"," men's 3m springboard","semifinal a"
"1","PACHECO Rommel","MEX",3,"5154B","3.4","8.5","8.5","8.5","8.5","8.5","8.5","8.5","86.70","1","245.60","1",""," men's 3m springboard","semifinal a"
"1","PACHECO Rommel","MEX",4,"5353B","3.3","9.0","9.0","8.5","9.0","9.0","8.5","9.0","89.10","1","334.70","1",""," men's 3m springboard","semifinal a"
"1","PACHECO Rommel","MEX",5,"307C","3.5","8.5","8.0","8.0","8.0","8.5","8.0","8.5","85.75","2","420.45","1",""," men's 3m springboard","semifinal a"
"1","PACHECO Rommel","MEX",6,"109C","3.8","8.5","8.5","8.0","8.5","8.5","8.5","8.5","96.90","1","517.35","1",""," men's 3m springboard","semifinal a"
"2","HE Chao","CHN",1,"5154B","3.4","8.5","8.5","8.5","8.5","8.5","8.5","8.5","86.70","2","86.70","2","1.70"," men's 3m springboard","semifinal a"
"2","HE Chao","CHN",2,"407C","3.4","8.0","7.5","7.0","7.0","7.5","7.0","7.0","73.10","2","159.80","2","1.70"," men's 3m springboard","semifinal a"
"2","HE Chao","CHN",3,"307C","3.5","8.5","8.0","8.0","8.0","8.0","8.5","8.0","84.00","2","243.80","2","1.80"," men's 3m springboard","semifinal a"
"2","HE Chao","CHN",4,"207C","3.6","7.5","8.0","7.0","7.5","7.0","7.5","7.0","79.20","3","323.00","2","11.70"," men's 3m springboard","semifinal a"
"2","HE Chao","CHN",5,"109C","3.8","8.5","8.0","8.0","8.5","8.5","8.5","8.5","96.90","1","419.90","2","0.55"," men's 3m springboard","semifinal a"
"2","HE Chao","CHN",6,"5172B","3.7","7.0","7.0","6.5","7.0","7.0","7.0","7.0","77.70","5","497.60","2","19.75"," men's 3m springboard","semifinal a"
"3","OCAMPO Jahir","MEX",1,"5154B","3.4","8.5","8.0","8.5","8.5","8.5","8.0","8.0","85.00","3","85.00","3","3.40"," men's 3m springboard","semifinal a"
"3","OCAMPO Jahir","MEX",2,"407C","3.4","7.5","8.0","7.0","7.0","7.0","7.0","7.0","71.40","3","156.40","4","5.10"," men's 3m springboard","semifinal a"
"3","OCAMPO Jahir","MEX",3,"205B","3.0","7.5","7.5","8.5","8.0","8.0","8.0","8.0","72.00","3","228.40","3","17.20"," men's 3m springboard","semifinal a"
"3","OCAMPO Jahir","MEX",4,"307C","3.5","7.0","7.0","7.0","7.5","7.5","7.0","7.5","75.25","5","303.65","3","31.05"," men's 3m springboard","semifinal a"
"3","OCAMPO Jahir","MEX",5,"5353B","3.3","8.0","8.0","8.0","8.0","8.5","8.5","8.5","80.85","3","384.50","3","35.95"," men's 3m springboard","semifinal a"
"3","OCAMPO Jahir","MEX",6,"109C","3.8","8.0","8.0","8.0","8.0","8.0","8.0","8.0","91.20","2","475.70","3","41.65"," men's 3m springboard","semifinal a"
"4","HE Chong","CHN",1,"5154B","3.4","8.0","7.5","7.5","7.5","8.0","8.0","8.5","79.90","4","79.90","4","8.50"," men's 3m springboard","semifinal a"
"4","HE Chong","CHN",2,"407C","3.4","8.0","7.0","8.0","8.0","8.0","7.5","8.0","81.60","1","161.50","1",""," men's 3m springboard","semifinal a"
"4","HE Chong","CHN",3,"307C","3.5","6.5","6.5","6.0","6.0","6.5","5.5","6.5","*45.50","6","207.00","4","38.60"," men's 3m springboard","semifinal a"
"4","HE Chong","CHN",4,"207C","3.6","7.5","7.0","7.0","7.5","7.0","7.5","6.5","77.40","4","284.40","4","50.30"," men's 3m springboard","semifinal a"
"4","HE Chong","CHN",5,"109C","3.8","7.0","7.0","7.0","7.0","7.0","7.0","7.0","79.80","5","364.20","4","56.25"," men's 3m springboard","semifinal a"
"4","HE Chong","CHN",6,"5156B","3.9","6.5","7.0","7.0","7.0","7.0","7.5","7.0","81.90","3","446.10","4","71.25"," men's 3m springboard","semifinal a"
"5","KVASHA Illya","UKR",1,"205B","3.0","7.5","6.5","7.5","6.5","7.0","6.5","6.5","60.00","6","60.00","6","28.40"," men's 3m springboard","semifinal a"
"5","KVASHA Illya","UKR",2,"5353B","3.3","7.5","7.0","7.5","7.0","7.5","7.0","7.0","70.95","4","130.95","6","30.55"," men's 3m springboard","semifinal a"
"5","KVASHA Illya","UKR",3,"407C","3.4","6.5","7.5","6.5","6.5","6.5","6.5","6.5","66.30","4","197.25","5","48.35"," men's 3m springboard","semifinal a"
"5","KVASHA Illya","UKR",4,"307C","3.5","8.0","8.0","8.5","8.0","8.0","7.5","7.5","84.00","2","281.25","5","53.45"," men's 3m springboard","semifinal a"
"5","KVASHA Illya","UKR",5,"109C","3.8","5.0","5.0","5.5","5.0","5.0","4.5","5.0","57.00","6","338.25","5","82.20"," men's 3m springboard","semifinal a"
"5","KVASHA Illya","UKR",6,"5154B","3.4","7.5","7.0","8.0","8.0","8.0","8.0","8.0","81.60","4","419.85","5","97.50"," men's 3m springboard","semifinal a"
"6","IMBEAU-DULAC Francois","CAN",1,"405B","3.0","8.0","7.5","8.0","8.0","8.0","8.0","7.5","72.00","5","72.00","5","16.40"," men's 3m springboard","semifinal a"
"6","IMBEAU-DULAC Francois","CAN",2,"107B","3.1","7.0","7.0","7.0","7.0","7.0","7.0","8.0","65.10","6","137.10","5","24.40"," men's 3m springboard","semifinal a"
"6","IMBEAU-DULAC Francois","CAN",3,"205B","3.0","6.0","5.0","6.0","6.0","6.0","6.0","6.5","54.00","5","191.10","6","54.50"," men's 3m springboard","semifinal a"
"6","IMBEAU-DULAC Francois","CAN",4,"307C","3.5","3.5","4.0","3.5","4.0","3.5","3.5","4.0","38.50","6","229.60","6","105.10"," men's 3m springboard","semifinal a"
"6","IMBEAU-DULAC Francois","CAN",5,"5337D","3.5","8.0","7.5","7.5","8.0","7.5","8.0","7.5","80.50","4","310.10","6","110.35"," men's 3m springboard","semifinal a"
"6","IMBEAU-DULAC Francois","CAN",6,"5154B","3.4","7.0","8.0","7.5","7.5","7.5","8.0","7.5","76.50","6","386.60","6","130.75"," men's 3m springboard","semifinal a"
"1","WANG Han","CHN",1,"405B","3.0","8.0","7.5","8.0","7.5","8.0","7.5","8.0","70.50","2","70.50","2","1.50","women's 3m springboard","semifinal a"
"1","WANG Han","CHN",2,"5152B","3.0","7.5","8.0","8.0","8.0","8.0","7.5","8.0","72.00","1","142.50","1","","women's 3m springboard","semifinal a"
"1","WANG Han","CHN",3,"305B","3.0","7.5","8.0","7.5","7.5","8.5","8.0","8.0","70.50","1","213.00","1","","women's 3m springboard","semifinal a"
"1","WANG Han","CHN",4,"107B","3.1","7.0","8.0","7.5","7.5","7.5","8.0","8.0","71.30","3","284.30","1","","women's 3m springboard","semifinal a"
"1","WANG Han","CHN",5,"205B","3.0","8.5","8.0","7.0","8.5","8.5","8.0","8.0","73.50","1","357.80","1","","women's 3m springboard","semifinal a"
"2","ABEL Jennifer","CAN",1,"405B","3.0","8.0","7.5","8.0","8.0","7.5","8.0","8.5","72.00","1","72.00","1","","women's 3m springboard","semifinal a"
"2","ABEL Jennifer","CAN",2,"107B","3.1","6.0","6.0","7.0","6.5","6.5","6.5","6.5","60.45","3","132.45","2","10.05","women's 3m springboard","semifinal a"
"2","ABEL Jennifer","CAN",3,"5154B","3.4","6.5","6.5","6.5","6.0","7.5","7.0","7.0","68.00","3","200.45","2","12.55","women's 3m springboard","semifinal a"
"2","ABEL Jennifer","CAN",4,"205B","3.0","8.0","8.5","8.0","8.5","8.5","8.5","8.0","75.00","1","275.45","2","8.85","women's 3m springboard","semifinal a"
"2","ABEL Jennifer","CAN",5,"305B","3.0","8.0","7.5","7.5","8.0","8.0","8.0","8.0","72.00","=2","347.45","2","10.35","women's 3m springboard","semifinal a"
"3","QIN Esther","AUS",1,"405B","3.0","6.5","6.5","7.0","6.5","6.5","6.5","7.0","58.50","=5","58.50","=5","13.50","women's 3m springboard","semifinal a"
"3","QIN Esther","AUS",2,"107B","3.1","7.5","7.5","7.5","7.0","7.0","7.0","7.5","68.20","2","126.70","3","15.80","women's 3m springboard","semifinal a"
"3","QIN Esther","AUS",3,"205B","3.0","7.5","7.5","8.0","7.0","7.5","7.5","7.0","67.50","4","194.20","3","18.80","women's 3m springboard","semifinal a"
"3","QIN Esther","AUS",4,"305B","3.0","7.5","8.5","8.0","7.5","8.0","8.0","8.5","72.00","2","266.20","3","18.10","women's 3m springboard","semifinal a"
"3","QIN Esther","AUS",5,"5152B","3.0","8.0","8.0","7.5","8.0","8.0","7.5","8.0","72.00","=2","338.20","3","19.60","women's 3m springboard","semifinal a"
"4","WARE Pamela","CAN",1,"205B","3.0","7.0","7.0","7.5","7.0","7.5","7.0","6.5","63.00","=3","63.00","=3","9.00","women's 3m springboard","semifinal a"
"4","WARE Pamela","CAN",2,"107B","3.1","5.5","5.0","5.0","6.0","5.5","5.5","5.5","51.15","4","114.15","4","28.35","women's 3m springboard","semifinal a"
"4","WARE Pamela","CAN",3,"405B","3.0","6.5","6.5","7.0","7.0","7.0","7.0","6.5","61.50","5","175.65","4","37.35","women's 3m springboard","semifinal a"
"4","WARE Pamela","CAN",4,"305B","3.0","7.0","7.0","6.5","6.0","6.5","6.5","7.0","60.00","5","235.65","4","48.65","women's 3m springboard","semifinal a"
"4","WARE Pamela","CAN",5,"5152B","3.0","7.5","7.0","8.0","7.5","7.0","8.0","7.5","67.50","=4","303.15","4","54.65","women's 3m springboard","semifinal a"
"5","ESPINOSA Paola","MEX",1,"107C","2.8","7.5","7.0","7.5","7.5","8.0","7.5","7.5","63.00","=3","63.00","=3","9.00","women's 3m springboard","semifinal a"
"5","ESPINOSA Paola","MEX",2,"205B","3.0","5.5","5.5","6.0","4.5","5.5","5.0","5.0","48.00","5","111.00","5","31.50","women's 3m springboard","semifinal a"
"5","ESPINOSA Paola","MEX",3,"305B","3.0","6.0","6.5","5.5","6.0","6.0","6.5","5.5","54.00","6","165.00","6","48.00","women's 3m springboard","semifinal a"
"5","ESPINOSA Paola","MEX",4,"405B","3.0","7.5","7.5","7.0","7.0","7.0","7.0","7.0","63.00","4","228.00","5","56.30","women's 3m springboard","semifinal a"
"5","ESPINOSA Paola","MEX",5,"5152B","3.0","7.5","8.0","7.5","7.5","7.5","8.0","7.5","67.50","=4","295.50","5","62.30","women's 3m springboard","semifinal a"
"6","HERNANDEZ Dolores","MEX",1,"405B","3.0","6.0","6.5","5.5","6.5","6.5","6.5","6.5","58.50","=5","58.50","=5","13.50","women's 3m springboard","semifinal a"
"6","HERNANDEZ Dolores","MEX",2,"107B","3.1","4.5","4.0","4.0","4.0","4.5","4.5","4.5","40.30","6","98.80","6","43.70","women's 3m springboard","semifinal a"
"6","HERNANDEZ Dolores","MEX",3,"205B","3.0","7.5","8.0","7.5","7.5","8.0","7.0","8.0","69.00","2","167.80","5","45.20","women's 3m springboard","semifinal a"
"6","HERNANDEZ Dolores","MEX",4,"305B","3.0","6.0","6.5","5.5","5.5","5.5","6.5","6.5","54.00","6","221.80","6","62.50","women's 3m springboard","semifinal a"
"6","HERNANDEZ Dolores","MEX",5,"5152B","3.0","7.0","7.0","7.5","6.5","7.0","6.5","6.5","61.50","6","283.30","6","74.50","women's 3m springboard","semifinal a"
"1","DALEY Thomas","GBR",1,"407C","3.2","8.5","9.0","9.0","8.5","8.5","9.0","8.5","83.20","1","83.20","1",""," men's 10m platform","semifinal a"
"1","DALEY Thomas","GBR",2,"5172B","3.6","9.0","9.5","9.0","8.5","8.0","8.5","8.5","93.60","1","176.80","1",""," men's 10m platform","semifinal a"
"1","DALEY Thomas","GBR",3,"626B","3.5","9.5","9.0","9.5","9.0","9.0","9.5","9.0","96.25","1","273.05","1",""," men's 10m platform","semifinal a"
"1","DALEY Thomas","GBR",4,"109C","3.7","8.0","8.5","8.0","8.0","8.0","7.5","8.0","88.80","2","361.85","1",""," men's 10m platform","semifinal a"
"1","DALEY Thomas","GBR",5,"307C","3.4","9.0","9.5","9.0","9.0","9.0","9.0","9.0","91.80","2","453.65","1",""," men's 10m platform","semifinal a"
"1","DALEY Thomas","GBR",6,"207B","3.6","9.0","8.5","9.0","9.0","8.5","8.0","8.5","93.60","2","547.25","1",""," men's 10m platform","semifinal a"
"2","GARCIA Ivan","MEX",1,"207C","3.3","7.0","7.5","7.0","7.5","7.5","7.0","7.5","72.60","5","72.60","5","10.60"," men's 10m platform","semifinal a"
"2","GARCIA Ivan","MEX",2,"109C","3.7","8.0","8.5","8.0","8.5","8.5","8.5","8.0","92.50","2","165.10","3","11.70"," men's 10m platform","semifinal a"
"2","GARCIA Ivan","MEX",3,"6245D","3.6","7.5","7.5","7.5","7.5","7.5","7.0","7.5","81.00","2","246.10","2","26.95"," men's 10m platform","semifinal a"
"2","GARCIA Ivan","MEX",4,"307C","3.4","9.0","9.0","9.5","9.5","9.0","9.0","9.0","91.80","1","337.90","2","23.95"," men's 10m platform","semifinal a"
"2","GARCIA Ivan","MEX",5,"409C","4.1","7.5","7.5","7.5","7.0","6.5","7.5","7.5","92.25","1","430.15","2","23.50"," men's 10m platform","semifinal a"
"2","GARCIA Ivan","MEX",6,"5156B","3.8","9.0","8.0","8.5","8.5","8.5","8.0","8.5","96.90","1","527.05","2","20.20"," men's 10m platform","semifinal a"
"3","RIENDEAU Vincent","CAN",1,"107B","3.0","8.5","8.5","8.0","8.0","8.5","8.0","8.0","73.50","4","73.50","4","9.70"," men's 10m platform","semifinal a"
"3","RIENDEAU Vincent","CAN",2,"626C","3.3","6.0","7.0","6.0","7.5","7.5","7.0","7.0","69.30","5","142.80","5","34.00"," men's 10m platform","semifinal a"
"3","RIENDEAU Vincent","CAN",3,"407C","3.2","8.0","8.0","7.5","8.0","8.0","7.5","8.0","76.80","=3","219.60","4","53.45"," men's 10m platform","semifinal a"
