"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","LAUGHER Jack","GBR",1,"5154B","3.4","8.0","8.0","8.5","8.5","8.5","8.5","8.5","86.70","=1","86.70","=1",""," men's 3m springboard","semifinal a"
"1","LAUGHER Jack","GBR",2,"307C","3.5","8.5","8.5","8.5","8.5","9.0","8.5","8.5","89.25","2","175.95","2","2.55"," men's 3m springboard","semifinal a"
"1","LAUGHER Jack","GBR",3,"407C","3.4","8.5","8.5","8.0","8.5","8.0","8.5","8.5","86.70","2","262.65","2","10.20"," men's 3m springboard","semifinal a"
"1","LAUGHER Jack","GBR",4,"5156B","3.9","7.0","7.0","7.0","7.0","7.5","8.0","7.5","83.85","=1","346.50","2","3.35"," men's 3m springboard","semifinal a"
"1","LAUGHER Jack","GBR",5,"109C","3.8","9.0","8.5","8.5","8.5","8.5","8.5","8.5","96.90","1","443.40","1",""," men's 3m springboard","semifinal a"
"1","LAUGHER Jack","GBR",6,"207C","3.6","8.0","8.5","8.5","8.5","8.5","8.5","8.5","91.80","2","535.20","1",""," men's 3m springboard","semifinal a"
"2","HE Chao","CHN",1,"5154B","3.4","8.5","8.5","8.5","8.5","8.5","8.5","8.5","86.70","=1","86.70","=1",""," men's 3m springboard","semifinal a"
"2","HE Chao","CHN",2,"407C","3.4","9.0","9.0","9.0","9.0","9.0","9.0","9.5","91.80","1","178.50","1",""," men's 3m springboard","semifinal a"
"2","HE Chao","CHN",3,"5172B","3.7","8.0","8.5","8.5","8.5","8.5","8.5","8.0","94.35","1","272.85","1",""," men's 3m springboard","semifinal a"
"2","HE Chao","CHN",4,"307C","3.5","7.0","7.5","8.0","7.5","7.0","7.5","6.5","77.00","4","349.85","1",""," men's 3m springboard","semifinal a"
"2","HE Chao","CHN",5,"207C","3.6","8.5","8.0","7.5","8.0","8.0","7.0","7.0","84.60","2","434.45","2","8.95"," men's 3m springboard","semifinal a"
"2","HE Chao","CHN",6,"109C","3.8","9.0","8.5","8.5","8.5","8.5","8.5","8.5","96.90","1","531.35","2","3.85"," men's 3m springboard","semifinal a"
"3","OCAMPO Jahir","SMF",1,"5154B","3.4","7.0","7.0","7.0","7.5","6.5","8.0","8.0","73.10","4","73.10","4","13.60"," men's 3m springboard","semifinal a"
