"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","XIE Siyi","CHN",1,"107B","3.1","7.5","8.0","7.5","7.5","7.5","8.0","8.0","71.30","6","71.30","6","15.40"," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",2,"407C","3.4","8.0","8.5","9.0","8.0","8.0","8.0","8.5","83.30","2","154.60","3","14.55"," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",3,"207C","3.6","8.5","8.5","8.5","8.5","8.0","8.0","8.0","90.00","1","244.60","1",""," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",4,"307C","3.5","8.0","8.0","8.5","8.0","8.5","8.0","8.5","85.75","1","330.35","1",""," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",5,"5154B","3.4","7.5","8.5","8.5","8.0","8.5","8.5","8.5","86.70","2","417.05","1",""," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",6,"109C","3.8","9.0","8.5","8.5","8.5","8.5","9.0","9.0","98.80","1","515.85","1",""," men's 3m springboard","semifinal a"
"2","PACHECO MARRUFO Rommel","MEX",1,"407C","3.4","8.5","8.0","8.0","8.5","8.5","8.5","8.5","86.70","1","86.70","1",""," men's 3m springboard","semifinal a"
"2","PACHECO MARRUFO Rommel","MEX",2,"205B","3.0","7.0","7.5","7.0","7.5","7.0","7.0","7.5","64.50","6","151.20","5","17.95"," men's 3m springboard","semifinal a"
"2","PACHECO MARRUFO Rommel","MEX",3,"5154B","3.4","8.0","8.0","8.0","8.0","8.5","8.0","8.0","81.60","2","232.80","3","11.80"," men's 3m springboard","semifinal a"
"2","PACHECO MARRUFO Rommel","MEX",4,"5353B","3.3","7.5","8.0","8.0","7.5","8.0","8.0","8.0","79.20","2","312.00","2","18.35"," men's 3m springboard","semifinal a"
"2","PACHECO MARRUFO Rommel","MEX",5,"307C","3.5","9.0","8.5","8.0","8.5","8.5","9.0","9.0","91.00","1","403.00","2","14.05"," men's 3m springboard","semifinal a"
"2","PACHECO MARRUFO Rommel","MEX",6,"109C","3.8","8.5","8.0","8.5","8.5","8.5","8.5","8.5","96.90","2","499.90","2","15.95"," men's 3m springboard","semifinal a"
"3","CAO Yuan","CHN",1,"407C","3.4","7.5","8.0","8.0","7.5","8.0","8.0","7.5","79.90","=2","79.90","=2","6.80"," men's 3m springboard","semifinal a"
"3","CAO Yuan","CHN",2,"5337D","3.5","8.5","8.5","8.5","8.5","8.0","8.5","8.5","89.25","1","169.15","1",""," men's 3m springboard","semifinal a"
"3","CAO Yuan","CHN",3,"307C","3.5","6.0","5.5","7.0","6.5","5.5","7.0","6.0","64.75","6","233.90","2","10.70"," men's 3m springboard","semifinal a"
"3","CAO Yuan","CHN",4,"207C","3.6","6.0","6.0","7.5","7.0","6.5","6.5","6.5","70.20","5","304.10","4","26.25"," men's 3m springboard","semifinal a"
"3","CAO Yuan","CHN",5,"5154B","3.4","7.5","7.5","8.0","8.0","8.0","9.0","8.0","81.60","4","385.70","3","31.35"," men's 3m springboard","semifinal a"
"3","CAO Yuan","CHN",6,"109C","3.8","7.5","8.0","7.5","8.0","8.0","8.0","8.0","91.20","=3","476.90","3","38.95"," men's 3m springboard","semifinal a"
"4","KUZNETSOV Evgenii","RUS",1,"407C","3.4","8.0","8.0","8.0","8.0","7.5","7.5","7.5","79.90","=2","79.90","=2","6.80"," men's 3m springboard","semifinal a"
"4","KUZNETSOV Evgenii","RUS",2,"5154B","3.4","7.5","7.5","7.5","7.0","7.5","7.5","7.5","76.50","4","156.40","2","12.75"," men's 3m springboard","semifinal a"
"4","KUZNETSOV Evgenii","RUS",3,"5156B","3.9","6.0","6.0","6.5","6.5","6.5","6.5","6.0","74.10","4","230.50","4","14.10"," men's 3m springboard","semifinal a"
"4","KUZNETSOV Evgenii","RUS",4,"207C","3.6","7.0","7.0","6.5","7.0","7.5","6.5","6.5","73.80","4","304.30","3","26.05"," men's 3m springboard","semifinal a"
"4","KUZNETSOV Evgenii","RUS",5,"307C","3.5","6.5","5.5","6.0","6.5","6.0","6.5","6.5","66.50","6","370.80","5","46.25"," men's 3m springboard","semifinal a"
"4","KUZNETSOV Evgenii","RUS",6,"109C","3.8","8.5","8.0","8.0","7.0","7.5","8.0","8.0","91.20","=3","462.00","4","53.85"," men's 3m springboard","semifinal a"
"5","FECK Stephan","GER",1,"205B","3.0","8.0","7.5","8.0","8.0","8.5","7.5","8.5","72.00","=4","72.00","=4","14.70"," men's 3m springboard","semifinal a"
"5","FECK Stephan","GER",2,"5353B","3.3","8.5","8.0","8.0","8.0","8.0","8.5","8.5","80.85","3","152.85","4","16.30"," men's 3m springboard","semifinal a"
