"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","XIE Siyi","CHN",1,"5154B","3.4","8.0","8.0","7.5","8.0","8.5","8.0","8.0","81.60","=1","81.60","=1",""," men's 3m springboard","preliminary"
"1","XIE Siyi","CHN",2,"5353B","3.3","7.5","7.5","8.0","8.0","8.5","7.5","7.5","75.90","3","157.50","3","4.60"," men's 3m springboard","preliminary"
"1","XIE Siyi","CHN",3,"207C","3.6","8.0","6.5","7.5","7.0","8.5","7.0","7.0","77.40","4","234.90","3","7.70"," men's 3m springboard","preliminary"
"1","XIE Siyi","CHN",4,"307C","3.5","7.0","7.5","6.5","7.0","7.0","7.0","6.5","73.50","=10","308.40","4","15.20"," men's 3m springboard","preliminary"
"1","XIE Siyi","CHN",5,"407B","3.7","8.5","7.0","8.5","8.0","8.5","7.5","8.5","92.50","1","400.90","2","3.35"," men's 3m springboard","preliminary"
"1","XIE Siyi","CHN",6,"109C","3.8","8.0","8.0","8.0","8.0","8.5","7.5","8.0","91.20","=1","492.10","1",""," men's 3m springboard","preliminary"
"2","CAO Yuan","CHN",1,"407C","3.4","8.0","8.0","8.0","7.5","8.5","8.5","8.0","81.60","=1","81.60","=1",""," men's 3m springboard","preliminary"
"2","CAO Yuan","CHN",2,"5337D","3.5","8.5","7.5","7.0","7.5","8.0","8.0","7.0","80.50","1","162.10","1",""," men's 3m springboard","preliminary"
"2","CAO Yuan","CHN",3,"307C","3.5","7.0","7.5","8.0","7.5","8.0","8.0","7.5","80.50","2","242.60","1",""," men's 3m springboard","preliminary"
"2","CAO Yuan","CHN",4,"207C","3.6","7.5","7.5","7.5","8.0","7.0","7.5","8.0","81.00","5","323.60","1",""," men's 3m springboard","preliminary"
"2","CAO Yuan","CHN",5,"5156B","3.9","6.5","7.0","6.5","6.5","6.5","6.0","7.0","76.05","9","399.65","3","4.60"," men's 3m springboard","preliminary"
"2","CAO Yuan","CHN",6,"109C","3.8","7.5","7.5","8.0","7.5","7.5","7.5","8.0","85.50","4","485.15","2","6.95"," men's 3m springboard","preliminary"
"3","HAUSDING Patrick","GER",1,"205B","3.0","7.5","8.0","7.5","7.5","8.0","8.0","8.0","70.50","12","70.50","12","11.10"," men's 3m springboard","preliminary"
"3","HAUSDING Patrick","GER",2,"5337D","3.5","7.0","7.5","7.0","7.0","7.0","6.5","7.0","73.50","4","144.00","6","18.10"," men's 3m springboard","preliminary"
"3","HAUSDING Patrick","GER",3,"307C","3.5","7.5","8.5","8.0","8.0","8.0","8.5","8.0","84.00","1","228.00","4","14.60"," men's 3m springboard","preliminary"
