"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","ZAKHAROV Ilia","RUS",1,"407C","3.4","7.5","7.0","8.0","8.0","7.5","7.5","8.0","78.20","3","78.20","3","3.40"," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",2,"207C","3.6","5.0","5.0","4.0","5.0","4.5","4.5","5.5","52.20","5","130.40","5","22.15"," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",3,"307C","3.5","7.5","7.5","7.0","8.0","8.0","8.0","8.0","82.25","1","212.65","2","3.50"," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",4,"5337D","3.5","7.0","7.0","6.0","7.5","7.5","7.5","7.0","75.25","3","287.90","2","6.45"," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",5,"5154B","3.4","7.5","7.0","7.0","7.5","7.5","8.0","7.5","76.50","3","364.40","2","10.45"," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",6,"109C","3.8","8.0","7.5","7.5","8.5","8.0","8.5","8.0","91.20","1","455.60","1",""," men's 3m springboard","semifinal a"
"2","KUZNETSOV Evgenii","RUS",1,"207C","3.6","7.0","7.5","7.0","7.5","8.0","8.0","7.0","79.20","2","79.20","2","2.40"," men's 3m springboard","semifinal a"
"2","KUZNETSOV Evgenii","RUS",2,"107B","3.1","6.5","6.5","5.5","6.5","7.0","7.0","5.5","60.45","3","139.65","3","12.90"," men's 3m springboard","semifinal a"
"2","KUZNETSOV Evgenii","RUS",3,"5154B","3.4","8.0","7.5","7.5","7.0","7.5","8.0","7.5","76.50","2","216.15","1",""," men's 3m springboard","semifinal a"
"2","KUZNETSOV Evgenii","RUS",4,"407C","3.4","8.0","8.0","8.0","7.5","7.0","7.5","7.5","78.20","1","294.35","1",""," men's 3m springboard","semifinal a"
"2","KUZNETSOV Evgenii","RUS",5,"307C","3.5","8.0","7.5","7.5","7.0","8.0","8.0","7.5","80.50","2","374.85","1",""," men's 3m springboard","semifinal a"
"2","KUZNETSOV Evgenii","RUS",6,"109C","3.8","7.0","7.0","7.0","7.0","6.5","6.5","6.5","77.90","3","452.75","2","2.85"," men's 3m springboard","semifinal a"
"3","PACHECO MARRUFO Rommel","MEX",1,"5154B","3.4","8.5","7.5","8.0","8.0","8.0","7.5","8.0","81.60","1","81.60","1",""," men's 3m springboard","semifinal a"
"3","PACHECO MARRUFO Rommel","MEX",2,"5353B","3.3","7.5","6.5","7.0","7.0","7.5","7.0","7.5","70.95","2","152.55","1",""," men's 3m springboard","semifinal a"
"3","PACHECO MARRUFO Rommel","MEX",3,"407C","3.4","6.0","6.0","6.0","5.0","5.5","5.5","6.0","59.50","3","212.05","3","4.10"," men's 3m springboard","semifinal a"
"3","PACHECO MARRUFO Rommel","MEX",4,"205B","3.0","7.5","7.0","7.0","7.5","7.0","7.0","7.0","63.00","5","275.05","3","19.30"," men's 3m springboard","semifinal a"
"3","PACHECO MARRUFO Rommel","MEX",5,"307C","3.5","8.0","7.5","8.0","7.5","8.5","7.5","8.0","82.25","1","357.30","3","17.55"," men's 3m springboard","semifinal a"
"3","PACHECO MARRUFO Rommel","MEX",6,"109C","3.8","7.5","7.0","8.0","7.5","7.5","7.0","7.5","85.50","2","442.80","3","12.80"," men's 3m springboard","semifinal a"
"4","IMBEAU-DULAC Francois","CAN",1,"205B","3.0","8.0","7.5","7.5","8.0","7.5","7.5","7.5","67.50","5","67.50","5","14.10"," men's 3m springboard","semifinal a"
"4","IMBEAU-DULAC Francois","CAN",2,"5337D","3.5","8.0","7.5","7.5","7.5","8.0","7.5","7.5","78.75","1","146.25","2","6.30"," men's 3m springboard","semifinal a"
"4","IMBEAU-DULAC Francois","CAN",3,"307C","3.5","3.5","3.0","3.5","3.0","3.0","3.5","4.0","35.00","5","181.25","4","34.90"," men's 3m springboard","semifinal a"
"4","IMBEAU-DULAC Francois","CAN",4,"5156B","3.9","6.5","6.5","6.5","6.0","6.5","6.5","6.5","76.05","2","257.30","4","37.05"," men's 3m springboard","semifinal a"
"4","IMBEAU-DULAC Francois","CAN",5,"405B","3.0","7.5","7.0","7.0","7.5","7.0","7.0","7.0","63.00","5","320.30","4","54.55"," men's 3m springboard","semifinal a"
"4","IMBEAU-DULAC Francois","CAN",6,"107B","3.1","8.0","7.5","7.5","8.0","7.5","7.5","8.0","71.30","4","391.60","4","64.00"," men's 3m springboard","semifinal a"
"5","GOODFELLOW Daniel","GBR",1,"5154B","3.4","8.0","7.5","8.0","7.5","7.0","7.5","7.5","76.50","4","76.50","4","5.10"," men's 3m springboard","semifinal a"
"5","GOODFELLOW Daniel","GBR",2,"307C","3.5","5.5","5.0","5.0","5.5","5.0","6.0","6.5","56.00","4","132.50","4","20.05"," men's 3m springboard","semifinal a"
"5","GOODFELLOW Daniel","GBR",3,"407C","3.4","4.5","4.0","3.5","5.0","4.5","3.5","5.0","44.20","4","176.70","5","39.45"," men's 3m springboard","semifinal a"
"5","GOODFELLOW Daniel","GBR",4,"107B","3.1","7.5","7.5","7.5","8.0","8.0","7.5","7.5","69.75","4","246.45","5","47.90"," men's 3m springboard","semifinal a"
"5","GOODFELLOW Daniel","GBR",5,"109C","3.8","6.5","5.0","5.5","6.5","6.5","6.0","6.5","72.20","4","318.65","5","56.20"," men's 3m springboard","semifinal a"
"5","GOODFELLOW Daniel","GBR",6,"207C","3.6","6.0","5.0","5.5","7.0","7.0","7.5","6.5","70.20","5","388.85","5","66.75"," men's 3m springboard","semifinal a"
"1","WANG Han","CHN",1,"405B","3.0","7.5","8.0","8.0","8.0","8.5","8.0","8.0","72.00","1","72.00","1","","women's 3m springboard","semifinal a"
"1","WANG Han","CHN",2,"205B","3.0","7.5","8.0","7.0","7.5","7.5","7.5","8.0","67.50","4","139.50","1","","women's 3m springboard","semifinal a"
"1","WANG Han","CHN",3,"305B","3.0","8.0","8.0","8.0","8.0","8.0","8.0","7.5","72.00","1","211.50","1","","women's 3m springboard","semifinal a"
"1","WANG Han","CHN",4,"107B","3.1","7.5","8.5","8.5","8.0","8.0","8.5","8.0","75.95","1","287.45","1","","women's 3m springboard","semifinal a"
"1","WANG Han","CHN",5,"5152B","3.0","7.0","7.5","8.0","7.5","7.5","8.0","8.5","69.00","2","356.45","1","","women's 3m springboard","semifinal a"
"2","WARE Pamela","CAN",1,"205B","3.0","7.5","7.5","7.5","7.5","8.0","8.0","7.5","67.50","2","67.50","2","4.50","women's 3m springboard","semifinal a"
"2","WARE Pamela","CAN",2,"107B","3.1","7.5","7.5","7.5","8.0","7.0","7.5","6.5","69.75","=1","137.25","2","2.25","women's 3m springboard","semifinal a"
"2","WARE Pamela","CAN",3,"405B","3.0","6.5","7.0","6.5","6.5","6.0","7.0","6.5","58.50","3","195.75","2","15.75","women's 3m springboard","semifinal a"
"2","WARE Pamela","CAN",4,"305B","3.0","7.5","7.0","7.0","7.0","7.5","7.5","7.5","66.00","3","261.75","2","25.70","women's 3m springboard","semifinal a"
"2","WARE Pamela","CAN",5,"5152B","3.0","7.5","7.5","7.5","7.5","7.5","7.5","7.0","67.50","3","329.25","2","27.20","women's 3m springboard","semifinal a"
"3","REID Grace","GBR",1,"405B","3.0","6.5","6.5","6.5","6.5","6.5","6.0","6.5","58.50","3","58.50","3","13.50","women's 3m springboard","semifinal a"
"3","REID Grace","GBR",2,"107B","3.1","7.0","7.5","7.0","7.5","7.5","7.5","7.5","69.75","=1","128.25","3","11.25","women's 3m springboard","semifinal a"
"3","REID Grace","GBR",3,"205B","3.0","7.0","7.0","6.5","6.5","6.5","7.0","7.0","61.50","2","189.75","3","21.75","women's 3m springboard","semifinal a"
"3","REID Grace","GBR",4,"305B","3.0","6.5","7.0","5.5","6.5","7.0","7.0","7.0","61.50","5","251.25","3","36.20","women's 3m springboard","semifinal a"
"3","REID Grace","GBR",5,"5152B","3.0","7.5","8.0","8.0","7.0","8.0","8.0","8.0","72.00","1","323.25","3","33.20","women's 3m springboard","semifinal a"
"4","SABRI Nur Dhabitah Binti","MAS",1,"405B","3.0","6.0","6.0","5.5","5.5","5.5","5.5","5.5","49.50","6","49.50","6","22.50","women's 3m springboard","semifinal a"
"4","SABRI Nur Dhabitah Binti","MAS",2,"107B","3.1","7.5","7.5","7.5","7.5","7.5","7.5","8.0","69.75","=1","119.25","4","20.25","women's 3m springboard","semifinal a"
"4","SABRI Nur Dhabitah Binti","MAS",3,"205B","3.0","7.0","6.5","6.0","6.0","6.5","6.5","6.0","57.00","4","176.25","4","35.25","women's 3m springboard","semifinal a"
"4","SABRI Nur Dhabitah Binti","MAS",4,"305B","3.0","5.5","5.5","5.0","5.0","5.5","6.0","5.0","48.00","6","224.25","6","63.20","women's 3m springboard","semifinal a"
"4","SABRI Nur Dhabitah Binti","MAS",5,"5152B","3.0","7.0","7.5","7.5","6.5","7.0","7.0","7.5","64.50","4","288.75","4","67.70","women's 3m springboard","semifinal a"
"5","QIN Esther","AUS",1,"405B","3.0","5.5","6.0","5.5","6.5","6.5","5.0","5.0","51.00","5","51.00","5","21.00","women's 3m springboard","semifinal a"
"5","QIN Esther","AUS",2,"107B","3.1","6.0","6.5","6.0","7.5","6.5","6.5","6.0","58.90","6","109.90","6","29.60","women's 3m springboard","semifinal a"
"5","QIN Esther","AUS",3,"205B","3.0","6.0","6.0","5.0","6.0","5.0","6.0","6.0","54.00","=5","163.90","6","47.60","women's 3m springboard","semifinal a"
"5","QIN Esther","AUS",4,"305B","3.0","7.0","7.5","7.5","7.0","7.5","7.5","7.5","67.50","2","231.40","5","56.05","women's 3m springboard","semifinal a"
