"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","XIE Siyi","CHN",1,"5154B","3.4","8.0","8.0","8.5","8.5","8.0","7.5","7.5","81.60","1","81.60","1",""," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",2,"5353B","3.3","7.5","8.0","8.0","8.0","8.0","8.0","8.0","79.20","2","160.80","1",""," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",3,"207C","3.6","8.0","8.5","8.5","8.5","8.0","8.0","8.0","88.20","1","249.00","1",""," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",4,"307C","3.5","7.5","8.0","7.5","7.5","7.0","7.0","7.5","78.75","1","327.75","1",""," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",5,"407B","3.7","8.0","8.5","8.0","8.0","8.0","8.0","8.0","88.80","2","416.55","1",""," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",6,"109C","3.8","7.5","8.0","8.5","7.5","7.5","7.5","7.5","85.50","2","502.05","1",""," men's 3m springboard","semifinal a"
"2","GAGNE Philippe","CAN",1,"205B","3.0","7.0","7.5","7.5","7.0","7.0","7.5","7.5","66.00","7","66.00","7","15.60"," men's 3m springboard","semifinal a"
"2","GAGNE Philippe","CAN",2,"5337D","3.5","7.5","7.5","8.0","8.0","7.5","8.0","8.0","82.25","1","148.25","3","12.55"," men's 3m springboard","semifinal a"
"2","GAGNE Philippe","CAN",3,"307C","3.5","8.0","8.0","8.5","8.0","8.0","8.5","8.5","85.75","2","234.00","2","15.00"," men's 3m springboard","semifinal a"
"2","GAGNE Philippe","CAN",4,"407C","3.4","7.0","7.0","7.0","6.0","6.5","6.5","6.5","68.00","6","302.00","3","25.75"," men's 3m springboard","semifinal a"
"2","GAGNE Philippe","CAN",5,"107B","3.1","8.0","8.0","8.5","8.0","8.0","8.0","8.0","74.40","4","376.40","3","40.15"," men's 3m springboard","semifinal a"
"2","GAGNE Philippe","CAN",6,"5154B","3.4","7.5","8.0","8.0","7.5","7.5","7.5","7.5","76.50","3","452.90","2","49.15"," men's 3m springboard","semifinal a"
"3","PACHECO MARRUFO Rommel","MEX",1,"5154B","3.4","6.5","7.5","7.5","7.5","7.5","7.5","7.5","76.50","=2","76.50","=2","5.10"," men's 3m springboard","semifinal a"
"3","PACHECO MARRUFO Rommel","MEX",2,"407C","3.4","7.5","7.5","8.0","7.5","8.0","7.5","7.0","76.50","3","153.00","2","7.80"," men's 3m springboard","semifinal a"
"3","PACHECO MARRUFO Rommel","MEX",3,"205B","3.0","8.0","8.0","8.5","8.5","8.0","8.0","8.5","73.50","4","226.50","3","22.50"," men's 3m springboard","semifinal a"
"3","PACHECO MARRUFO Rommel","MEX",4,"5353B","3.3","8.0","8.0","7.5","8.5","7.5","7.5","7.5","75.90","2","302.40","2","25.35"," men's 3m springboard","semifinal a"
"3","PACHECO MARRUFO Rommel","MEX",5,"307C","3.5","8.5","9.0","9.0","9.5","8.5","8.0","8.5","91.00","1","393.40","2","23.15"," men's 3m springboard","semifinal a"
"3","PACHECO MARRUFO Rommel","MEX",6,"109C","3.8","5.0","5.0","5.5","4.5","5.0","5.0","5.0","57.00","7","450.40","3","51.65"," men's 3m springboard","semifinal a"
"4","HIXON Mike","USA",1,"5154B","3.4","7.5","7.5","7.5","7.5","8.0","8.0","7.5","76.50","=2","76.50","=2","5.10"," men's 3m springboard","semifinal a"
"4","HIXON Mike","USA",2,"205B","3.0","7.0","7.0","7.0","7.0","7.5","7.5","7.0","63.00","7","139.50","5","21.30"," men's 3m springboard","semifinal a"
"4","HIXON Mike","USA",3,"5337D","3.5","8.0","8.0","8.0","7.5","7.5","7.5","8.0","82.25","3","221.75","4","27.25"," men's 3m springboard","semifinal a"
"4","HIXON Mike","USA",4,"307C","3.5","6.5","6.5","7.0","7.0","7.5","7.5","7.0","73.50","=3","295.25","4","32.50"," men's 3m springboard","semifinal a"
