"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","SHLEIKHER Nikita","RUS",1,"407C","3.4","7.0","7.0","7.0","7.5","7.5","6.5","7.0","71.40","=1","71.40","=1",""," men's 3m springboard","semifinal a"
"1","SHLEIKHER Nikita","RUS",2,"5337D","3.5","7.0","7.5","7.5","7.0","7.5","7.0","7.0","75.25","3","146.65","1",""," men's 3m springboard","semifinal a"
"1","SHLEIKHER Nikita","RUS",3,"207C","3.6","6.5","6.0","5.5","6.5","6.5","6.0","6.5","68.40","1","215.05","1",""," men's 3m springboard","semifinal a"
"1","SHLEIKHER Nikita","RUS",4,"109C","3.8","6.5","6.5","7.0","6.0","7.0","7.0","7.0","77.90","1","292.95","1",""," men's 3m springboard","semifinal a"
"1","SHLEIKHER Nikita","RUS",5,"307C","3.5","7.5","7.5","7.0","7.5","8.0","8.0","8.0","80.50","1","373.45","1",""," men's 3m springboard","semifinal a"
"1","SHLEIKHER Nikita","RUS",6,"5156B","3.9","6.0","5.5","5.5","5.5","5.0","5.5","6.0","64.35","=4","437.80","1",""," men's 3m springboard","semifinal a"
"2","CELAYA HERNANDEZ Juan Manuel","MEX",1,"205B","3.0","7.0","6.0","6.5","7.0","6.5","6.5","7.0","60.00","5","60.00","5","11.40"," men's 3m springboard","semifinal a"
"2","CELAYA HERNANDEZ Juan Manuel","MEX",2,"5154B","3.4","7.5","7.0","7.5","7.5","7.5","7.5","7.5","76.50","=1","136.50","3","10.15"," men's 3m springboard","semifinal a"
"2","CELAYA HERNANDEZ Juan Manuel","MEX",3,"307C","3.5","5.5","6.0","7.0","5.5","6.5","6.5","6.5","66.50","2","203.00","2","12.05"," men's 3m springboard","semifinal a"
"2","CELAYA HERNANDEZ Juan Manuel","MEX",4,"407C","3.4","7.0","7.5","7.5","7.0","7.5","7.5","7.0","74.80","2","277.80","2","15.15"," men's 3m springboard","semifinal a"
"2","CELAYA HERNANDEZ Juan Manuel","MEX",5,"109C","3.8","6.5","6.5","6.0","7.0","6.5","6.0","6.0","72.20","5","350.00","2","23.45"," men's 3m springboard","semifinal a"
"2","CELAYA HERNANDEZ Juan Manuel","MEX",6,"5156B","3.9","6.5","7.0","7.0","7.0","6.5","7.0","7.0","81.90","1","431.90","2","5.90"," men's 3m springboard","semifinal a"
"3","HIXON Mike","USA",1,"5154B","3.4","6.5","7.0","7.0","7.5","7.5","7.0","7.0","71.40","=1","71.40","=1",""," men's 3m springboard","semifinal a"
"3","HIXON Mike","USA",2,"205B","3.0","6.0","6.5","6.5","6.5","7.0","6.5","6.5","58.50","=5","129.90","5","16.75"," men's 3m springboard","semifinal a"
"3","HIXON Mike","USA",3,"5337D","3.5","5.0","5.5","5.5","5.5","5.0","4.5","5.0","54.25","3","184.15","3","30.90"," men's 3m springboard","semifinal a"
"3","HIXON Mike","USA",4,"307C","3.5","6.5","6.0","6.0","6.5","6.5","6.0","6.0","64.75","4","248.90","3","44.05"," men's 3m springboard","semifinal a"
"3","HIXON Mike","USA",5,"407C","3.4","7.5","8.0","7.5","8.0","8.0","7.5","7.5","78.20","3","327.10","3","46.35"," men's 3m springboard","semifinal a"
