"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","GOODFELLOW Daniel","GBR",1,"5154B","3.4","8.0","7.5","7.5","7.0","6.5","7.5","7.0","74.80","1","74.80","1",""," men's 3m springboard","preliminary"
"1","GOODFELLOW Daniel","GBR",2,"407C","3.4","8.5","8.5","7.0","7.5","7.5","7.5","7.0","76.50","3","151.30","1",""," men's 3m springboard","preliminary"
"1","GOODFELLOW Daniel","GBR",3,"307C","3.5","8.5","8.0","8.0","8.5","9.0","8.5","8.0","87.50","1","238.80","1",""," men's 3m springboard","preliminary"
"1","GOODFELLOW Daniel","GBR",4,"5156B","3.9","7.0","7.0","5.5","7.0","6.5","7.0","7.5","81.90","4","320.70","1",""," men's 3m springboard","preliminary"
"1","GOODFELLOW Daniel","GBR",5,"109C","3.8","8.0","8.5","8.0","8.0","8.0","7.5","7.0","91.20","1","411.90","1",""," men's 3m springboard","preliminary"
"1","GOODFELLOW Daniel","GBR",6,"207C","3.6","7.0","7.0","7.0","7.0","7.0","7.5","7.5","75.60","5","487.50","1",""," men's 3m springboard","preliminary"
"2","HEATLY James","GBR",1,"205B","3.0","7.0","7.0","7.0","8.0","8.0","8.0","7.0","66.00","=15","66.00","=15","8.80"," men's 3m springboard","preliminary"
"2","HEATLY James","GBR",2,"407C","3.4","7.5","7.0","6.5","7.5","6.5","7.5","7.0","73.10","=4","139.10","7","12.20"," men's 3m springboard","preliminary"
"2","HEATLY James","GBR",3,"5154B","3.4","8.0","7.5","7.5","8.0","8.0","8.0","7.5","79.90","3","219.00","4","19.80"," men's 3m springboard","preliminary"
"2","HEATLY James","GBR",4,"307C","3.5","8.0","7.5","7.5","7.5","8.0","8.0","8.5","82.25","=2","301.25","3","19.45"," men's 3m springboard","preliminary"
"2","HEATLY James","GBR",5,"5337D","3.5","8.0","7.5","8.5","8.5","8.5","8.0","7.5","85.75","2","387.00","2","24.90"," men's 3m springboard","preliminary"
"2","HEATLY James","GBR",6,"109C","3.8","8.0","8.0","7.5","8.0","8.0","8.0","7.5","91.20","1","478.20","2","9.30"," men's 3m springboard","preliminary"
"3","WOLFRAM Martin","GER",1,"205B","3.0","8.5","8.5","8.0","7.5","7.0","7.5","7.5","69.00","9","69.00","9","5.80"," men's 3m springboard","preliminary"
"3","WOLFRAM Martin","GER",2,"5337D","3.5","7.5","7.0","8.0","7.5","7.5","8.0","7.5","78.75","2","147.75","2","3.55"," men's 3m springboard","preliminary"
"3","WOLFRAM Martin","GER",3,"307C","3.5","7.5","6.5","7.0","7.0","6.0","7.0","7.0","73.50","9","221.25","2","17.55"," men's 3m springboard","preliminary"
"3","WOLFRAM Martin","GER",4,"407C","3.4","7.0","6.5","7.5","7.0","7.0","7.5","7.0","71.40","=11","292.65","4","28.05"," men's 3m springboard","preliminary"
"3","WOLFRAM Martin","GER",5,"107B","3.1","8.0","8.0","8.0","8.0","7.5","8.5","8.0","74.40","8","367.05","4","44.85"," men's 3m springboard","preliminary"
"3","WOLFRAM Martin","GER",6,"5154B","3.4","8.0","7.5","7.5","7.0","8.0","8.0","8.0","79.90","2","446.95","3","40.55"," men's 3m springboard","preliminary"
"4","JANDARD Alexis","FRA",1,"405B","3.0","7.0","7.0","6.5","7.5","7.0","7.0","7.0","63.00","=24","63.00","=24","11.80"," men's 3m springboard","preliminary"
"4","JANDARD Alexis","FRA",2,"107B","3.1","7.5","8.0","7.5","7.0","7.5","8.0","8.0","71.30","=10","134.30","15","17.00"," men's 3m springboard","preliminary"
"4","JANDARD Alexis","FRA",3,"205B","3.0","7.0","7.0","7.0","6.5","6.5","7.0","6.5","61.50","=26","195.80","16","43.00"," men's 3m springboard","preliminary"
"4","JANDARD Alexis","FRA",4,"5337D","3.5","8.0","8.0","8.5","9.0","8.0","8.0","7.5","84.00","1","279.80","9","40.90"," men's 3m springboard","preliminary"
"4","JANDARD Alexis","FRA",5,"307C","3.5","8.0","8.5","7.5","7.0","7.0","7.5","7.5","78.75","6","358.55","5","53.35"," men's 3m springboard","preliminary"
"4","JANDARD Alexis","FRA",6,"5154B","3.4","7.0","8.0","7.5","7.0","7.5","7.5","7.0","74.80","7","433.35","4","54.15"," men's 3m springboard","preliminary"
"5","WOO Haram","KOR",1,"5154B","3.4","7.0","6.5","7.0","6.5","7.0","7.0","6.5","69.70","8","69.70","8","5.10"," men's 3m springboard","preliminary"
"5","WOO Haram","KOR",2,"407C","3.4","6.5","8.5","7.0","7.5","7.0","7.0","7.0","71.40","=7","141.10","6","10.20"," men's 3m springboard","preliminary"
"5","WOO Haram","KOR",3,"109C","3.8","7.0","7.0","7.0","7.0","7.0","7.0","7.0","79.80","4","220.90","3","17.90"," men's 3m springboard","preliminary"
"5","WOO Haram","KOR",4,"307C","3.5","8.0","7.0","7.5","8.0","7.0","8.5","8.0","82.25","=2","303.15","2","17.55"," men's 3m springboard","preliminary"
"5","WOO Haram","KOR",5,"207C","3.6","7.0","8.0","7.0","6.5","7.0","7.0","7.0","75.60","7","378.75","3","33.15"," men's 3m springboard","preliminary"
"5","WOO Haram","KOR",6,"5156B","3.9","4.5","5.0","4.5","6.5","4.0","4.5","4.5","52.65","43","431.40","5","56.10"," men's 3m springboard","preliminary"
"6","AREVALO ALCON","ESP",1,"405B","3.0","7.0","7.5","7.0","7.0","7.5","7.0","7.0","63.00","=24","63.00","=24","11.80"," men's 3m springboard","preliminary"
"6","AREVALO ALCON","ESP",2,"5154B","3.4","6.5","7.0","6.5","7.0","7.5","7.5","7.0","71.40","=7","134.40","=13","16.90"," men's 3m springboard","preliminary"
"6","AREVALO ALCON","ESP",3,"207C","3.6","7.0","6.0","6.5","7.0","7.0","7.0","7.0","75.60","7","210.00","7","28.80"," men's 3m springboard","preliminary"
