"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round","year","competition"
1,"CAO Yuan","CHN",1,"407C",3.4,8.5,8,8.5,8,8.5,8,8.5,"85.00","1",85,"1",NA," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"CAO Yuan","CHN",2,"5154B",3.4,9,8.5,8.5,8.5,8.5,8,8.5,"86.70","1",171.7,"1",NA," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"CAO Yuan","CHN",3,"307C",3.5,8.5,9,8.5,8.5,9,8.5,8.5,"89.25","1",260.95,"1",NA," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"CAO Yuan","CHN",4,"207C",3.6,7.5,8.5,8,8,8,8,8,"86.40","1",347.35,"1",NA," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"CAO Yuan","CHN",5,"5337D",3.5,8.5,8.5,8.5,8,8,8.5,8,"87.50","2",434.85,"1",NA," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"CAO Yuan","CHN",6,"109C",3.8,8.5,8.5,8.5,8,7.5,8,8,"93.10","1",527.95,"1",NA," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HAUSDING Patrick","GER",1,"205B",3,8,8,7.5,7.5,8.5,7.5,7.5,"69.00","3",69,"3",16," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HAUSDING Patrick","GER",2,"307C",3.5,8.5,8,8,8.5,8,8.5,8,"85.75","2",154.75,"3",16.95," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HAUSDING Patrick","GER",3,"5355B",3.7,8,8,8,8.5,8,8.5,8,"88.80","2",243.55,"2",17.4," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HAUSDING Patrick","GER",4,"407C",3.4,8,8,7.5,8,8,7.5,8,"81.60","3",325.15,"2",22.2," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HAUSDING Patrick","GER",5,"109C",3.8,8.5,8.5,8,9,8.5,8.5,9,"96.90","1",422.05,"2",12.8," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HAUSDING Patrick","GER",6,"5154B",3.4,8,8,8,8,8,8.5,8.5,"81.60","2",503.65,"2",24.3," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KVASHA Illya","UKR",1,"407C",3.4,8,8,7.5,8,8.5,8,8,"81.60","2",81.6,"2",3.4," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KVASHA Illya","UKR",2,"5353B",3.3,7.5,8,7,7.5,7,7.5,7.5,"74.25","3",155.85,"2",15.85," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KVASHA Illya","UKR",3,"307C",3.5,7.5,7,7.5,7,7.5,7,6.5,"75.25","3",231.1,"3",29.85," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KVASHA Illya","UKR",4,"109C",3.8,7.5,7.5,7.5,8,7,7,7,"83.60","2",314.7,"3",32.65," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KVASHA Illya","UKR",5,"205B",3,8,8.5,8,7.5,7.5,8,8.5,"72.00","4",386.7,"3",48.15," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KVASHA Illya","UKR",6,"5154B",3.4,7.5,7,7,7.5,7.5,7.5,7,"74.80","4",461.5,"3",66.45," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"GAGNE Philippe","CAN",1,"405B",3,7,7.5,7.5,7.5,7.5,7.5,7.5,"67.50","4",67.5,"4",17.5," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"GAGNE Philippe","CAN",2,"107B",3.1,7.5,7,8,7.5,7.5,7,7.5,"69.75","4",137.25,"4",34.45," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"GAGNE Philippe","CAN",3,"5154B",3.4,6,6.5,6.5,6.5,6.5,6.5,6.5,"66.30","4",203.55,"4",57.4," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"GAGNE Philippe","CAN",4,"205B",3,6.5,6.5,7,6.5,7,6.5,6.5,"58.50","4",262.05,"4",85.3," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"GAGNE Philippe","CAN",5,"307C",3.5,7,6.5,7,7,7,7,7,"73.50","3",335.55,"4",99.3," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"GAGNE Philippe","CAN",6,"5337D",3.5,7.5,7.5,7.5,7.5,8,8,7.5,"78.75","3",414.3,"4",113.65," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"HE Zi","CHN",1,"405B",3,8.5,8.5,8.5,7.5,8,8,8,"73.50","1",73.5,"1",NA,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"HE Zi","CHN",2,"205B",3,8,8,8,8,8.5,8,8,"72.00","1",145.5,"1",NA,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"HE Zi","CHN",3,"305B",3,8.5,8.5,9,8.5,9,8.5,8.5,"76.50","1",222,"1",NA,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"HE Zi","CHN",4,"107B",3.1,8,8,8,8,8,8.5,8,"74.40","1",296.4,"1",NA,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"HE Zi","CHN",5,"5152B",3,8,8,8,8,8.5,8,8.5,"72.00","1",368.4,"1",NA,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HERNANDEZ Dolores","MEX",1,"405B",3,6,6.5,6,7,7,6.5,6.5,"58.50","2",58.5,"2",15,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HERNANDEZ Dolores","MEX",2,"107B",3.1,4,4.5,5,5.5,5.5,4.5,4,"43.40","2",101.9,"2",43.6,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HERNANDEZ Dolores","MEX",3,"205B",3,7.5,7.5,7,7.5,6.5,6,6,"63.00","=2",164.9,"2",57.1,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
