"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"LIKACHEVA Yulia","KELEMEN Ildiko","TSIVINSKI Alexandr","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","BOUSSARD Michel"
" men's 3m springboard","semifinal a",2,"LIKACHEVA Yulia","KELEMEN Ildiko","TSIVINSKI Alexandr","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","BOUSSARD Michel"
" men's 3m springboard","semifinal a",3,"LIKACHEVA Yulia","KELEMEN Ildiko","TSIVINSKI Alexandr","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","BOUSSARD Michel"
" men's 3m springboard","semifinal a",4,"LIKACHEVA Yulia","KELEMEN Ildiko","TSIVINSKI Alexandr","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","BOUSSARD Michel"
" men's 3m springboard","semifinal a",5,"LIKACHEVA Yulia","KELEMEN Ildiko","TSIVINSKI Alexandr","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","BOUSSARD Michel"
" men's 3m springboard","semifinal a",6,"LIKACHEVA Yulia","KELEMEN Ildiko","TSIVINSKI Alexandr","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","BOUSSARD Michel"
"women's 3m springboard","semifinal a",1,"BEKETOV Andrey","VYAS Mayur","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir"
"women's 3m springboard","semifinal a",2,"BEKETOV Andrey","VYAS Mayur","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir"
"women's 3m springboard","semifinal a",3,"BEKETOV Andrey","VYAS Mayur","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir"
"women's 3m springboard","semifinal a",4,"BEKETOV Andrey","VYAS Mayur","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir"
"women's 3m springboard","semifinal a",5,"BEKETOV Andrey","VYAS Mayur","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir"
" men's 10m platform","semifinal a",1,"BOUSSARD Michel","VYAS Mayur","TSIVINSKI Alexandr","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","NARYSHKIN Vladzimir"
" men's 10m platform","semifinal a",2,"BOUSSARD Michel","VYAS Mayur","TSIVINSKI Alexandr","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","NARYSHKIN Vladzimir"
" men's 10m platform","semifinal a",3,"BOUSSARD Michel","VYAS Mayur","TSIVINSKI Alexandr","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","NARYSHKIN Vladzimir"
" men's 10m platform","semifinal a",4,"BOUSSARD Michel","VYAS Mayur","TSIVINSKI Alexandr","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","NARYSHKIN Vladzimir"
" men's 10m platform","semifinal a",5,"BOUSSARD Michel","VYAS Mayur","TSIVINSKI Alexandr","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","NARYSHKIN Vladzimir"
" men's 10m platform","semifinal a",6,"BOUSSARD Michel","VYAS Mayur","TSIVINSKI Alexandr","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","NARYSHKIN Vladzimir"
"women's 10m platform","semifinal a",1,"BEKETOV Andrey","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","BOUSSARD Michel","VYAS Mayur"
"women's 10m platform","semifinal a",2,"BEKETOV Andrey","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","BOUSSARD Michel","VYAS Mayur"
"women's 10m platform","semifinal a",3,"BEKETOV Andrey","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","BOUSSARD Michel","VYAS Mayur"
"women's 10m platform","semifinal a",4,"BEKETOV Andrey","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","BOUSSARD Michel","VYAS Mayur"
"women's 10m platform","semifinal a",5,"BEKETOV Andrey","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","BOUSSARD Michel","VYAS Mayur"
" men's 3m springboard","semifinal b",1,"LIKACHEVA Yulia","KELEMEN Ildiko","TSIVINSKI Alexandr","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","BOUSSARD Michel"
" men's 3m springboard","semifinal b",2,"LIKACHEVA Yulia","KELEMEN Ildiko","TSIVINSKI Alexandr","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","BOUSSARD Michel"
" men's 3m springboard","semifinal b",3,"LIKACHEVA Yulia","KELEMEN Ildiko","TSIVINSKI Alexandr","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","BOUSSARD Michel"
" men's 3m springboard","semifinal b",4,"LIKACHEVA Yulia","KELEMEN Ildiko","TSIVINSKI Alexandr","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","BOUSSARD Michel"
" men's 3m springboard","semifinal b",5,"LIKACHEVA Yulia","KELEMEN Ildiko","TSIVINSKI Alexandr","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","BOUSSARD Michel"
" men's 3m springboard","semifinal b",6,"LIKACHEVA Yulia","KELEMEN Ildiko","TSIVINSKI Alexandr","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","BOUSSARD Michel"
"women's 3m springboard","semifinal b",1,"BEKETOV Andrey","VYAS Mayur","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir"
"women's 3m springboard","semifinal b",2,"BEKETOV Andrey","VYAS Mayur","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir"
"women's 3m springboard","semifinal b",3,"BEKETOV Andrey","VYAS Mayur","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir"
"women's 3m springboard","semifinal b",4,"BEKETOV Andrey","VYAS Mayur","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir"
"women's 3m springboard","semifinal b",5,"BEKETOV Andrey","VYAS Mayur","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir"
" men's 10m platform","semifinal b",1,"BOUSSARD Michel","VYAS Mayur","TSIVINSKI Alexandr","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","NARYSHKIN Vladzimir"
" men's 10m platform","semifinal b",2,"BOUSSARD Michel","VYAS Mayur","TSIVINSKI Alexandr","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","NARYSHKIN Vladzimir"
" men's 10m platform","semifinal b",3,"BOUSSARD Michel","VYAS Mayur","TSIVINSKI Alexandr","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","NARYSHKIN Vladzimir"
" men's 10m platform","semifinal b",4,"BOUSSARD Michel","VYAS Mayur","TSIVINSKI Alexandr","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","NARYSHKIN Vladzimir"
" men's 10m platform","semifinal b",5,"BOUSSARD Michel","VYAS Mayur","TSIVINSKI Alexandr","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","NARYSHKIN Vladzimir"
" men's 10m platform","semifinal b",6,"BOUSSARD Michel","VYAS Mayur","TSIVINSKI Alexandr","TELLEFSEN Arne","LIKACHEVA Yulia","KELEMEN Ildiko","NARYSHKIN Vladzimir"
"women's 10m platform","semifinal b",1,"BEKETOV Andrey","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","BOUSSARD Michel","VYAS Mayur"
"women's 10m platform","semifinal b",2,"BEKETOV Andrey","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","BOUSSARD Michel","VYAS Mayur"
"women's 10m platform","semifinal b",3,"BEKETOV Andrey","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","BOUSSARD Michel","VYAS Mayur"
"women's 10m platform","semifinal b",4,"BEKETOV Andrey","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","BOUSSARD Michel","VYAS Mayur"
"women's 10m platform","semifinal b",5,"BEKETOV Andrey","PEREZ CANASVERAS Angel Luis","NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","BOUSSARD Michel","VYAS Mayur"
" men's 3m springboard","final",1,"NARYSHKIN Vladzimir","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","LIKACHEVA Yulia","BOUSSARD Michel","KELEMEN Ildiko","TSIVINSKI Alexandr"
" men's 3m springboard","final",2,"NARYSHKIN Vladzimir","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","LIKACHEVA Yulia","BOUSSARD Michel","KELEMEN Ildiko","TSIVINSKI Alexandr"
" men's 3m springboard","final",3,"NARYSHKIN Vladzimir","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","LIKACHEVA Yulia","BOUSSARD Michel","KELEMEN Ildiko","TSIVINSKI Alexandr"
" men's 3m springboard","final",4,"NARYSHKIN Vladzimir","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","LIKACHEVA Yulia","BOUSSARD Michel","KELEMEN Ildiko","TSIVINSKI Alexandr"
" men's 3m springboard","final",5,"NARYSHKIN Vladzimir","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","LIKACHEVA Yulia","BOUSSARD Michel","KELEMEN Ildiko","TSIVINSKI Alexandr"
" men's 3m springboard","final",6,"NARYSHKIN Vladzimir","TELLEFSEN Arne","PEREZ CANASVERAS Angel Luis","LIKACHEVA Yulia","BOUSSARD Michel","KELEMEN Ildiko","TSIVINSKI Alexandr"
"women's 3m springboard","final",1,"NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","BEKETOV Andrey","VYAS Mayur","LIKACHEVA Yulia"
"women's 3m springboard","final",2,"NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","BEKETOV Andrey","VYAS Mayur","LIKACHEVA Yulia"
"women's 3m springboard","final",3,"NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","BEKETOV Andrey","VYAS Mayur","LIKACHEVA Yulia"
"women's 3m springboard","final",4,"NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","BEKETOV Andrey","VYAS Mayur","LIKACHEVA Yulia"
"women's 3m springboard","final",5,"NARYSHKIN Vladzimir","TELLEFSEN Arne","KELEMEN Ildiko","PEREZ CANASVERAS Angel Luis","BEKETOV Andrey","VYAS Mayur","LIKACHEVA Yulia"
" men's 10m platform","final",1,"VYAS Mayur","TSIVINSKI Alexandr","LIKACHEVA Yulia","NARYSHKIN Vladzimir","KELEMEN Ildiko","TELLEFSEN Arne","BOUSSARD Michel"
" men's 10m platform","final",2,"VYAS Mayur","TSIVINSKI Alexandr","LIKACHEVA Yulia","NARYSHKIN Vladzimir","KELEMEN Ildiko","TELLEFSEN Arne","BOUSSARD Michel"
" men's 10m platform","final",3,"VYAS Mayur","TSIVINSKI Alexandr","LIKACHEVA Yulia","NARYSHKIN Vladzimir","KELEMEN Ildiko","TELLEFSEN Arne","BOUSSARD Michel"
" men's 10m platform","final",4,"VYAS Mayur","TSIVINSKI Alexandr","LIKACHEVA Yulia","NARYSHKIN Vladzimir","KELEMEN Ildiko","TELLEFSEN Arne","BOUSSARD Michel"
" men's 10m platform","final",5,"VYAS Mayur","TSIVINSKI Alexandr","LIKACHEVA Yulia","NARYSHKIN Vladzimir","KELEMEN Ildiko","TELLEFSEN Arne","BOUSSARD Michel"
" men's 10m platform","final",6,"VYAS Mayur","TSIVINSKI Alexandr","LIKACHEVA Yulia","NARYSHKIN Vladzimir","KELEMEN Ildiko","TELLEFSEN Arne","BOUSSARD Michel"
"women's 10m platform","final",1,"KELEMEN Ildiko","VYAS Mayur","PEREZ CANASVERAS Angel Luis","BOUSSARD Michel","BEKETOV Andrey","NARYSHKIN Vladzimir","TELLEFSEN Arne"
"women's 10m platform","final",2,"KELEMEN Ildiko","VYAS Mayur","PEREZ CANASVERAS Angel Luis","BOUSSARD Michel","BEKETOV Andrey","NARYSHKIN Vladzimir","TELLEFSEN Arne"
"women's 10m platform","final",3,"KELEMEN Ildiko","VYAS Mayur","PEREZ CANASVERAS Angel Luis","BOUSSARD Michel","BEKETOV Andrey","NARYSHKIN Vladzimir","TELLEFSEN Arne"
"women's 10m platform","final",4,"KELEMEN Ildiko","VYAS Mayur","PEREZ CANASVERAS Angel Luis","BOUSSARD Michel","BEKETOV Andrey","NARYSHKIN Vladzimir","TELLEFSEN Arne"
"women's 10m platform","final",5,"KELEMEN Ildiko","VYAS Mayur","PEREZ CANASVERAS Angel Luis","BOUSSARD Michel","BEKETOV Andrey","NARYSHKIN Vladzimir","TELLEFSEN Arne"
