"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"PETERSON Gordon","RIOS Cristina","BANUELOS Ricardo","AHLERING Julie","RUIZ PEDREGUERA Rolando","YU Jian","BARBOSA Ana Virginia"
" men's 3m springboard","semifinal a",2,"PETERSON Gordon","RIOS Cristina","BANUELOS Ricardo","AHLERING Julie","RUIZ PEDREGUERA Rolando","YU Jian","BARBOSA Ana Virginia"
" men's 3m springboard","semifinal a",3,"PETERSON Gordon","RIOS Cristina","BANUELOS Ricardo","AHLERING Julie","RUIZ PEDREGUERA Rolando","YU Jian","BARBOSA Ana Virginia"
" men's 3m springboard","semifinal a",4,"PETERSON Gordon","RIOS Cristina","BANUELOS Ricardo","AHLERING Julie","RUIZ PEDREGUERA Rolando","YU Jian","BARBOSA Ana Virginia"
" men's 3m springboard","semifinal a",5,"PETERSON Gordon","RIOS Cristina","BANUELOS Ricardo","AHLERING Julie","RUIZ PEDREGUERA Rolando","YU Jian","BARBOSA Ana Virginia"
" men's 3m springboard","semifinal a",6,"PETERSON Gordon","RIOS Cristina","BANUELOS Ricardo","AHLERING Julie","RUIZ PEDREGUERA Rolando","YU Jian","BARBOSA Ana Virginia"
"women's 3m springboard","semifinal a",1,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
"women's 3m springboard","semifinal a",2,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
"women's 3m springboard","semifinal a",3,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
"women's 3m springboard","semifinal a",4,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
"women's 3m springboard","semifinal a",5,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
" men's 10m platform","semifinal a",1,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal a",2,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal a",3,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal a",4,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal a",5,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal a",6,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
"women's 10m platform","semifinal a",1,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie"
"women's 10m platform","semifinal a",2,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie"
"women's 10m platform","semifinal a",3,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie"
"women's 10m platform","semifinal a",4,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie"
"women's 10m platform","semifinal a",5,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie"
" men's 3m springboard","semifinal b",1,"PETERSON Gordon","RIOS Cristina","BANUELOS Ricardo","AHLERING Julie","RUIZ PEDREGUERA Rolando","YU Jian","BARBOSA Ana Virginia"
" men's 3m springboard","semifinal b",2,"PETERSON Gordon","RIOS Cristina","BANUELOS Ricardo","AHLERING Julie","RUIZ PEDREGUERA Rolando","YU Jian","BARBOSA Ana Virginia"
" men's 3m springboard","semifinal b",3,"PETERSON Gordon","RIOS Cristina","BANUELOS Ricardo","AHLERING Julie","RUIZ PEDREGUERA Rolando","YU Jian","BARBOSA Ana Virginia"
" men's 3m springboard","semifinal b",4,"PETERSON Gordon","RIOS Cristina","BANUELOS Ricardo","AHLERING Julie","RUIZ PEDREGUERA Rolando","YU Jian","BARBOSA Ana Virginia"
" men's 3m springboard","semifinal b",5,"PETERSON Gordon","RIOS Cristina","BANUELOS Ricardo","AHLERING Julie","RUIZ PEDREGUERA Rolando","YU Jian","BARBOSA Ana Virginia"
" men's 3m springboard","semifinal b",6,"PETERSON Gordon","RIOS Cristina","BANUELOS Ricardo","AHLERING Julie","RUIZ PEDREGUERA Rolando","YU Jian","BARBOSA Ana Virginia"
"women's 3m springboard","semifinal b",1,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
"women's 3m springboard","semifinal b",2,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
"women's 3m springboard","semifinal b",3,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
"women's 3m springboard","semifinal b",4,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
"women's 3m springboard","semifinal b",5,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
" men's 10m platform","semifinal b",1,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal b",2,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal b",3,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal b",4,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal b",5,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal b",6,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
"women's 10m platform","semifinal b",1,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie"
"women's 10m platform","semifinal b",2,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie"
"women's 10m platform","semifinal b",3,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie"
"women's 10m platform","semifinal b",4,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie"
