"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","JA"
" men's 3m springboard","preliminary",1,"PEREZ CANASVERAS Angel Luis","YEOH Ken Nee","AZORIN Daniel Pierre","SAGE Christopher David","DAW Yehia Zakaria Yehia","ALVARADO SALAZAR Ulises Alejandro","AXTELIUS Peter Olof","POLAZZO Marco Valerio"
" men's 3m springboard","preliminary",2,"PEREZ CANASVERAS Angel Luis","YEOH Ken Nee","AZORIN Daniel Pierre","SAGE Christopher David","DAW Yehia Zakaria Yehia","ALVARADO SALAZAR Ulises Alejandro","AXTELIUS Peter Olof","POLAZZO Marco Valerio"
" men's 3m springboard","preliminary",5,"PEREZ CANASVERAS Angel Luis","YEOH Ken Nee","AZORIN Daniel Pierre","SAGE Christopher David","DAW Yehia Zakaria Yehia","ALVARADO SALAZAR Ulises Alejandro","AXTELIUS Peter Olof","POLAZZO Marco Valerio"
" men's 3m springboard","preliminary",3,"FABER Marc Hendrik","LER Soon Tien","HUFFMAN Colleen Smith","TOULOUDIS Nikolaos","LATIMER Simon James","GOLOVAN Anatoliy","ROCHA CHAVEZ Sergio","VINOGRADOV Alexander"
" men's 3m springboard","preliminary",4,"FABER Marc Hendrik","LER Soon Tien","HUFFMAN Colleen Smith","TOULOUDIS Nikolaos","LATIMER Simon James","GOLOVAN Anatoliy","ROCHA CHAVEZ Sergio","VINOGRADOV Alexander"
" men's 3m springboard","preliminary",6,"FABER Marc Hendrik","LER Soon Tien","HUFFMAN Colleen Smith","TOULOUDIS Nikolaos","LATIMER Simon James","GOLOVAN Anatoliy","ROCHA CHAVEZ Sergio","VINOGRADOV Alexander"
"women's 3m springboard","preliminary",1,"LATIMER Simon James","PARK Yoo Hyun","ILIES Danielamihaela","MORNEAU Helene","POLAZZO Marco Valerio","SAGE Christopher David","HUFFMAN Colleen Smith","YEOH Ken Nee"
"women's 3m springboard","preliminary",2,"LATIMER Simon James","PARK Yoo Hyun","ILIES Danielamihaela","MORNEAU Helene","POLAZZO Marco Valerio","SAGE Christopher David","HUFFMAN Colleen Smith","YEOH Ken Nee"
"women's 3m springboard","preliminary",5,"LATIMER Simon James","PARK Yoo Hyun","ILIES Danielamihaela","MORNEAU Helene","POLAZZO Marco Valerio","SAGE Christopher David","HUFFMAN Colleen Smith","YEOH Ken Nee"
"women's 3m springboard","preliminary",3,"ALVARADO SALAZAR Ulises Alejandro","PIKTURNIENE Ale","LER Soon Tien","DAW Yehia Zakaria Yehia","VINOGRADOV Alexander","RIOS HENAO Maria Cristina","CHANDIRYAN Maria","MAMONTOV Andrei"
"women's 3m springboard","preliminary",4,"ALVARADO SALAZAR Ulises Alejandro","PIKTURNIENE Ale","LER Soon Tien","DAW Yehia Zakaria Yehia","VINOGRADOV Alexander","RIOS HENAO Maria Cristina","CHANDIRYAN Maria","MAMONTOV Andrei"
" men's 10m platform","preliminary",1,"HUFFMAN Colleen Smith","PARK Yoo Hyun","AZORIN Daniel Pierre","GUINAZU Fernando Javier","POLAZZO Marco Valerio","TOULOUDIS Nikolaos","VINOGRADOV Alexander","ROCHA CHAVEZ Sergio"
" men's 10m platform","preliminary",2,"HUFFMAN Colleen Smith","PARK Yoo Hyun","AZORIN Daniel Pierre","GUINAZU Fernando Javier","POLAZZO Marco Valerio","TOULOUDIS Nikolaos","VINOGRADOV Alexander","ROCHA CHAVEZ Sergio"
" men's 10m platform","preliminary",5,"HUFFMAN Colleen Smith","PARK Yoo Hyun","AZORIN Daniel Pierre","GUINAZU Fernando Javier","POLAZZO Marco Valerio","TOULOUDIS Nikolaos","VINOGRADOV Alexander","ROCHA CHAVEZ Sergio"
" men's 10m platform","preliminary",3,"DAW Yehia Zakaria Yehia","MORNEAU Helene","DIETRICH DEE Monika Gertrud Ilse","KANETO Yuki","PEREZ CANASVERAS Angel Luis","LATIMER Simon James","GOLOVAN Anatoliy","CHANDIRYAN Maria"
" men's 10m platform","preliminary",4,"DAW Yehia Zakaria Yehia","MORNEAU Helene","DIETRICH DEE Monika Gertrud Ilse","KANETO Yuki","PEREZ CANASVERAS Angel Luis","LATIMER Simon James","GOLOVAN Anatoliy","CHANDIRYAN Maria"
" men's 10m platform","preliminary",6,"DAW Yehia Zakaria Yehia","MORNEAU Helene","DIETRICH DEE Monika Gertrud Ilse","KANETO Yuki","PEREZ CANASVERAS Angel Luis","LATIMER Simon James","GOLOVAN Anatoliy","CHANDIRYAN Maria"
"women's 10m platform","preliminary",1,"BROOKER Gillian Ann Dunbar","KANETO Yuki","TELLEFSEN Arne","MAMONTOV Andrei","KELEMENVAN de KONIJNENBU Ildiko M","GENG Tao","FABER Marc Hendrik","LATIMER Simon James"
"women's 10m platform","preliminary",2,"BROOKER Gillian Ann Dunbar","KANETO Yuki","TELLEFSEN Arne","MAMONTOV Andrei","KELEMENVAN de KONIJNENBU Ildiko M","GENG Tao","FABER Marc Hendrik","LATIMER Simon James"
"women's 10m platform","preliminary",5,"BROOKER Gillian Ann Dunbar","KANETO Yuki","TELLEFSEN Arne","MAMONTOV Andrei","KELEMENVAN de KONIJNENBU Ildiko M","GENG Tao","FABER Marc Hendrik","LATIMER Simon James"
"women's 10m platform","preliminary",3,"RUIZ PEDREGUERA Rolando","RIOS HENAO Maria Cristina","YEOH Ken Nee","AZORIN Daniel Pierre","MORNEAU Helene","SAGE Hayley Dawn","HUFFMAN Colleen Smith","DIETRICH DEE Monika Gertrud Ilse"
"women's 10m platform","preliminary",4,"RUIZ PEDREGUERA Rolando","RIOS HENAO Maria Cristina","YEOH Ken Nee","AZORIN Daniel Pierre","MORNEAU Helene","SAGE Hayley Dawn","HUFFMAN Colleen Smith","DIETRICH DEE Monika Gertrud Ilse"
" men's 3m springboard","semifinal",1,"ALVARADO SALAZAR Ulises Alejandro","BROOKER Gillian Ann Dunbar","MAMONTOV Andrei","GENG Tao","PEREZ CANASVERAS Angel Luis","AYRES BARBOSA Ana Virginia","TELLEFSEN Arne","HUFFMAN Colleen Smith"
" men's 3m springboard","semifinal",2,"ALVARADO SALAZAR Ulises Alejandro","BROOKER Gillian Ann Dunbar","MAMONTOV Andrei","GENG Tao","PEREZ CANASVERAS Angel Luis","AYRES BARBOSA Ana Virginia","TELLEFSEN Arne","HUFFMAN Colleen Smith"
" men's 3m springboard","semifinal",5,"ALVARADO SALAZAR Ulises Alejandro","BROOKER Gillian Ann Dunbar","MAMONTOV Andrei","GENG Tao","PEREZ CANASVERAS Angel Luis","AYRES BARBOSA Ana Virginia","TELLEFSEN Arne","HUFFMAN Colleen Smith"
" men's 3m springboard","semifinal",3,"ILIES Danielamihaela","DAW Yehia Zakaria Yehia","NOVOTNA Hana","KANETO Yuki","PIKTURNIENE Ale","GOLOVAN Anatoliy","RIOS HENAO Maria Cristina","ROCHA CHAVEZ Sergio"
" men's 3m springboard","semifinal",4,"ILIES Danielamihaela","DAW Yehia Zakaria Yehia","NOVOTNA Hana","KANETO Yuki","PIKTURNIENE Ale","GOLOVAN Anatoliy","RIOS HENAO Maria Cristina","ROCHA CHAVEZ Sergio"
" men's 3m springboard","semifinal",6,"ILIES Danielamihaela","DAW Yehia Zakaria Yehia","NOVOTNA Hana","KANETO Yuki","PIKTURNIENE Ale","GOLOVAN Anatoliy","RIOS HENAO Maria Cristina","ROCHA CHAVEZ Sergio"
"women's 3m springboard","semifinal",1,"ROCHA CHAVEZ Sergio","da CONCEICAO Oswaldo Augusto","ILIES Danielamihaela","SAADALLAH Khaled Gamil","SZEKFFY Nora","NOVOTNA Hana","TELLEFSEN Arne",NA
"women's 3m springboard","semifinal",2,"ROCHA CHAVEZ Sergio","da CONCEICAO Oswaldo Augusto","ILIES Danielamihaela","SAADALLAH Khaled Gamil","SZEKFFY Nora","NOVOTNA Hana","TELLEFSEN Arne",NA
"women's 3m springboard","semifinal",5,"ROCHA CHAVEZ Sergio","da CONCEICAO Oswaldo Augusto","ILIES Danielamihaela","SAADALLAH Khaled Gamil","SZEKFFY Nora","NOVOTNA Hana","TELLEFSEN Arne",NA
"women's 3m springboard","semifinal",3,"AXTELIUS Peter Olof","PIKTURNIENE Ale","RAO Lang","MORNEAU Helene","TOULOUDIS Nikolaos","LATIMER Simon James","ALVARADO SALAZAR Ulises Alejandro","YEOH Ken Nee"
"women's 3m springboard","semifinal",4,"AXTELIUS Peter Olof","PIKTURNIENE Ale","RAO Lang","MORNEAU Helene","TOULOUDIS Nikolaos","LATIMER Simon James","ALVARADO SALAZAR Ulises Alejandro","YEOH Ken Nee"
" men's 10m platform","semifinal",1,"ROCHA CHAVEZ Sergio","AYRES BARBOSA Ana Virginia","RAO Lang","SAADALLAH Khaled Gamil","SZEKFFY Nora","LATIMER Simon James","VINOGRADOV Alexander","NOVOTNA Hana"
" men's 10m platform","semifinal",2,"ROCHA CHAVEZ Sergio","AYRES BARBOSA Ana Virginia","RAO Lang","SAADALLAH Khaled Gamil","SZEKFFY Nora","LATIMER Simon James","VINOGRADOV Alexander","NOVOTNA Hana"
" men's 10m platform","semifinal",5,"ROCHA CHAVEZ Sergio","AYRES BARBOSA Ana Virginia","RAO Lang","SAADALLAH Khaled Gamil","SZEKFFY Nora","LATIMER Simon James","VINOGRADOV Alexander","NOVOTNA Hana"
" men's 10m platform","semifinal",3,"AXTELIUS Peter Olof","PIKTURNIENE Ale","van der VOORT Ronald Hendrikus The","MORNEAU Helene","TOULOUDIS Nikolaos","YEOH Ken Nee","ALVARADO SALAZAR Ulises Alejandro","LER Soon Tien"
" men's 10m platform","semifinal",4,"AXTELIUS Peter Olof","PIKTURNIENE Ale","van der VOORT Ronald Hendrikus The","MORNEAU Helene","TOULOUDIS Nikolaos","YEOH Ken Nee","ALVARADO SALAZAR Ulises Alejandro","LER Soon Tien"
" men's 10m platform","semifinal",6,"AXTELIUS Peter Olof","PIKTURNIENE Ale","van der VOORT Ronald Hendrikus The","MORNEAU Helene","TOULOUDIS Nikolaos","YEOH Ken Nee","ALVARADO SALAZAR Ulises Alejandro","LER Soon Tien"
"women's 10m platform","semifinal",1,"MAMONTOV Andrei","BROOKER Gillian Ann Dunbar","PIKTURNIENE Ale","HUFFMAN Colleen Smith","ILIES Danielamihaela","KANETO Yuki","TELLEFSEN Arne","AXTELIUS Peter Olof"
"women's 10m platform","semifinal",2,"MAMONTOV Andrei","BROOKER Gillian Ann Dunbar","PIKTURNIENE Ale","HUFFMAN Colleen Smith","ILIES Danielamihaela","KANETO Yuki","TELLEFSEN Arne","AXTELIUS Peter Olof"
"women's 10m platform","semifinal",5,"MAMONTOV Andrei","BROOKER Gillian Ann Dunbar","PIKTURNIENE Ale","HUFFMAN Colleen Smith","ILIES Danielamihaela","KANETO Yuki","TELLEFSEN Arne","AXTELIUS Peter Olof"
"women's 10m platform","semifinal",3,"ROCHA CHAVEZ Sergio","SAADALLAH Khaled Gamil","RAO Lang","ALVARADO SALAZAR Ulises Alejandro","YEOH Ken Nee","NOVOTNA Hana","MORNEAU Helene","CHANDIRYAN Maria"
