"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"GILDEMEISTER Peter","LER Damien Soon Tien","GOLOVAN Anatoly","RIOS Cristina","ITO Masaki","TOULOUDIS Nikolaos","VYAS Mayur"
" men's 3m springboard","semifinal a",2,"GILDEMEISTER Peter","LER Damien Soon Tien","GOLOVAN Anatoly","RIOS Cristina","ITO Masaki","TOULOUDIS Nikolaos","VYAS Mayur"
" men's 3m springboard","semifinal a",3,"GILDEMEISTER Peter","LER Damien Soon Tien","GOLOVAN Anatoly","RIOS Cristina","ITO Masaki","TOULOUDIS Nikolaos","VYAS Mayur"
" men's 3m springboard","semifinal a",4,"GILDEMEISTER Peter","LER Damien Soon Tien","GOLOVAN Anatoly","RIOS Cristina","ITO Masaki","TOULOUDIS Nikolaos","VYAS Mayur"
" men's 3m springboard","semifinal a",5,"GILDEMEISTER Peter","LER Damien Soon Tien","GOLOVAN Anatoly","RIOS Cristina","ITO Masaki","TOULOUDIS Nikolaos","VYAS Mayur"
" men's 3m springboard","semifinal a",6,"GILDEMEISTER Peter","LER Damien Soon Tien","GOLOVAN Anatoly","RIOS Cristina","ITO Masaki","TOULOUDIS Nikolaos","VYAS Mayur"
"women's 3m springboard","semifinal a",1,"GOLOVAN Anatoly","VYAS Mayur","RIOS Cristina","TELLEFSEN Arne","POLAZZO Valerio","LER Damien Soon Tien","TOULOUDIS Nikolaos"
"women's 3m springboard","semifinal a",2,"GOLOVAN Anatoly","VYAS Mayur","RIOS Cristina","TELLEFSEN Arne","POLAZZO Valerio","LER Damien Soon Tien","TOULOUDIS Nikolaos"
"women's 3m springboard","semifinal a",3,"GOLOVAN Anatoly","VYAS Mayur","RIOS Cristina","TELLEFSEN Arne","POLAZZO Valerio","LER Damien Soon Tien","TOULOUDIS Nikolaos"
"women's 3m springboard","semifinal a",4,"GOLOVAN Anatoly","VYAS Mayur","RIOS Cristina","TELLEFSEN Arne","POLAZZO Valerio","LER Damien Soon Tien","TOULOUDIS Nikolaos"
