"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"BARBOSA Ana Virginia","BROOKER Gilian","MORNEAU Helene","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","MIN Suck Hong","HUFFMAN Coleen"
" men's 3m springboard","semifinal a",2,"BARBOSA Ana Virginia","BROOKER Gilian","MORNEAU Helene","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","MIN Suck Hong","HUFFMAN Coleen"
" men's 3m springboard","semifinal a",3,"BARBOSA Ana Virginia","BROOKER Gilian","MORNEAU Helene","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","MIN Suck Hong","HUFFMAN Coleen"
" men's 3m springboard","semifinal a",4,"BARBOSA Ana Virginia","BROOKER Gilian","MORNEAU Helene","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","MIN Suck Hong","HUFFMAN Coleen"
" men's 3m springboard","semifinal a",5,"BARBOSA Ana Virginia","BROOKER Gilian","MORNEAU Helene","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","MIN Suck Hong","HUFFMAN Coleen"
" men's 3m springboard","semifinal a",6,"BARBOSA Ana Virginia","BROOKER Gilian","MORNEAU Helene","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","MIN Suck Hong","HUFFMAN Coleen"
"women's 3m springboard","semifinal a",1,"MORNEAU Helene","RUIZ PEDREGUERA Rolando","MIN Suck Hong","BARBOSA Ana Virginia","BROOKER Gilian","FABER Marc","AXTELIUS Peter"
"women's 3m springboard","semifinal a",2,"MORNEAU Helene","RUIZ PEDREGUERA Rolando","MIN Suck Hong","BARBOSA Ana Virginia","BROOKER Gilian","FABER Marc","AXTELIUS Peter"
"women's 3m springboard","semifinal a",3,"MORNEAU Helene","RUIZ PEDREGUERA Rolando","MIN Suck Hong","BARBOSA Ana Virginia","BROOKER Gilian","FABER Marc","AXTELIUS Peter"
"women's 3m springboard","semifinal a",4,"MORNEAU Helene","RUIZ PEDREGUERA Rolando","MIN Suck Hong","BARBOSA Ana Virginia","BROOKER Gilian","FABER Marc","AXTELIUS Peter"
"women's 3m springboard","semifinal a",5,"MORNEAU Helene","RUIZ PEDREGUERA Rolando","MIN Suck Hong","BARBOSA Ana Virginia","BROOKER Gilian","FABER Marc","AXTELIUS Peter"
" men's 10m platform","semifinal a",1,"RUIZ PEDREGUERA Rolando","BUSHDAUPHINAIS Barb","HUFFMAN Coleen","AXTELIUS Peter","FABER Marc","BROOKER Gilian","MIN Suck Hong"
" men's 10m platform","semifinal a",2,"RUIZ PEDREGUERA Rolando","BUSHDAUPHINAIS Barb","HUFFMAN Coleen","AXTELIUS Peter","FABER Marc","BROOKER Gilian","MIN Suck Hong"
" men's 10m platform","semifinal a",3,"RUIZ PEDREGUERA Rolando","BUSHDAUPHINAIS Barb","HUFFMAN Coleen","AXTELIUS Peter","FABER Marc","BROOKER Gilian","MIN Suck Hong"
" men's 10m platform","semifinal a",4,"RUIZ PEDREGUERA Rolando","BUSHDAUPHINAIS Barb","HUFFMAN Coleen","AXTELIUS Peter","FABER Marc","BROOKER Gilian","MIN Suck Hong"
" men's 10m platform","semifinal a",5,"RUIZ PEDREGUERA Rolando","BUSHDAUPHINAIS Barb","HUFFMAN Coleen","AXTELIUS Peter","FABER Marc","BROOKER Gilian","MIN Suck Hong"
" men's 10m platform","semifinal a",6,"RUIZ PEDREGUERA Rolando","BUSHDAUPHINAIS Barb","HUFFMAN Coleen","AXTELIUS Peter","FABER Marc","BROOKER Gilian","MIN Suck Hong"
"women's 10m platform","semifinal a",1,"AXTELIUS Peter","BUSHDAUPHINAIS Barb","BARBOSA Ana Virginia","FABER Marc","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","MIN Suck Hong"
"women's 10m platform","semifinal a",2,"AXTELIUS Peter","BUSHDAUPHINAIS Barb","BARBOSA Ana Virginia","FABER Marc","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","MIN Suck Hong"
"women's 10m platform","semifinal a",3,"AXTELIUS Peter","BUSHDAUPHINAIS Barb","BARBOSA Ana Virginia","FABER Marc","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","MIN Suck Hong"
"women's 10m platform","semifinal a",4,"AXTELIUS Peter","BUSHDAUPHINAIS Barb","BARBOSA Ana Virginia","FABER Marc","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","MIN Suck Hong"
"women's 10m platform","semifinal a",5,"AXTELIUS Peter","BUSHDAUPHINAIS Barb","BARBOSA Ana Virginia","FABER Marc","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","MIN Suck Hong"
" men's 3m springboard","semifinal b",1,"BARBOSA Ana Virginia","BROOKER Gilian","MORNEAU Helene","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","MIN Suck Hong","HUFFMAN Coleen"
" men's 3m springboard","semifinal b",2,"BARBOSA Ana Virginia","BROOKER Gilian","MORNEAU Helene","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","MIN Suck Hong","HUFFMAN Coleen"
" men's 3m springboard","semifinal b",3,"BARBOSA Ana Virginia","BROOKER Gilian","MORNEAU Helene","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","MIN Suck Hong","HUFFMAN Coleen"
" men's 3m springboard","semifinal b",4,"BARBOSA Ana Virginia","BROOKER Gilian","MORNEAU Helene","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","MIN Suck Hong","HUFFMAN Coleen"
" men's 3m springboard","semifinal b",5,"BARBOSA Ana Virginia","BROOKER Gilian","MORNEAU Helene","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","MIN Suck Hong","HUFFMAN Coleen"
" men's 3m springboard","semifinal b",6,"BARBOSA Ana Virginia","BROOKER Gilian","MORNEAU Helene","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","MIN Suck Hong","HUFFMAN Coleen"
"women's 3m springboard","semifinal b",1,"MORNEAU Helene","RUIZ PEDREGUERA Rolando","MIN Suck Hong","BARBOSA Ana Virginia","BROOKER Gilian","FABER Marc","AXTELIUS Peter"
"women's 3m springboard","semifinal b",2,"MORNEAU Helene","RUIZ PEDREGUERA Rolando","MIN Suck Hong","BARBOSA Ana Virginia","BROOKER Gilian","FABER Marc","AXTELIUS Peter"
"women's 3m springboard","semifinal b",3,"MORNEAU Helene","RUIZ PEDREGUERA Rolando","MIN Suck Hong","BARBOSA Ana Virginia","BROOKER Gilian","FABER Marc","AXTELIUS Peter"
"women's 3m springboard","semifinal b",4,"MORNEAU Helene","RUIZ PEDREGUERA Rolando","MIN Suck Hong","BARBOSA Ana Virginia","BROOKER Gilian","FABER Marc","AXTELIUS Peter"
"women's 3m springboard","semifinal b",5,"MORNEAU Helene","RUIZ PEDREGUERA Rolando","MIN Suck Hong","BARBOSA Ana Virginia","BROOKER Gilian","FABER Marc","AXTELIUS Peter"
" men's 10m platform","semifinal b",1,"RUIZ PEDREGUERA Rolando","BUSHDAUPHINAIS Barb","HUFFMAN Coleen","AXTELIUS Peter","FABER Marc","BROOKER Gilian","MIN Suck Hong"
" men's 10m platform","semifinal b",2,"RUIZ PEDREGUERA Rolando","BUSHDAUPHINAIS Barb","HUFFMAN Coleen","AXTELIUS Peter","FABER Marc","BROOKER Gilian","MIN Suck Hong"
" men's 10m platform","semifinal b",3,"RUIZ PEDREGUERA Rolando","BUSHDAUPHINAIS Barb","HUFFMAN Coleen","AXTELIUS Peter","FABER Marc","BROOKER Gilian","MIN Suck Hong"
" men's 10m platform","semifinal b",4,"RUIZ PEDREGUERA Rolando","BUSHDAUPHINAIS Barb","HUFFMAN Coleen","AXTELIUS Peter","FABER Marc","BROOKER Gilian","MIN Suck Hong"
" men's 10m platform","semifinal b",5,"RUIZ PEDREGUERA Rolando","BUSHDAUPHINAIS Barb","HUFFMAN Coleen","AXTELIUS Peter","FABER Marc","BROOKER Gilian","MIN Suck Hong"
" men's 10m platform","semifinal b",6,"RUIZ PEDREGUERA Rolando","BUSHDAUPHINAIS Barb","HUFFMAN Coleen","AXTELIUS Peter","FABER Marc","BROOKER Gilian","MIN Suck Hong"
"women's 10m platform","semifinal b",1,"AXTELIUS Peter","BUSHDAUPHINAIS Barb","BARBOSA Ana Virginia","FABER Marc","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","MIN Suck Hong"
"women's 10m platform","semifinal b",2,"AXTELIUS Peter","BUSHDAUPHINAIS Barb","BARBOSA Ana Virginia","FABER Marc","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","MIN Suck Hong"
"women's 10m platform","semifinal b",3,"AXTELIUS Peter","BUSHDAUPHINAIS Barb","BARBOSA Ana Virginia","FABER Marc","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","MIN Suck Hong"
"women's 10m platform","semifinal b",4,"AXTELIUS Peter","BUSHDAUPHINAIS Barb","BARBOSA Ana Virginia","FABER Marc","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","MIN Suck Hong"
"women's 10m platform","semifinal b",5,"AXTELIUS Peter","BUSHDAUPHINAIS Barb","BARBOSA Ana Virginia","FABER Marc","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","MIN Suck Hong"
" men's 3m springboard","final",1,"MIN Suck Hong","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","HUFFMAN Coleen","BROOKER Gilian","MORNEAU Helene"
" men's 3m springboard","final",2,"MIN Suck Hong","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","HUFFMAN Coleen","BROOKER Gilian","MORNEAU Helene"
" men's 3m springboard","final",3,"MIN Suck Hong","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","HUFFMAN Coleen","BROOKER Gilian","MORNEAU Helene"
" men's 3m springboard","final",4,"MIN Suck Hong","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","HUFFMAN Coleen","BROOKER Gilian","MORNEAU Helene"
" men's 3m springboard","final",5,"MIN Suck Hong","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","HUFFMAN Coleen","BROOKER Gilian","MORNEAU Helene"
" men's 3m springboard","final",6,"MIN Suck Hong","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","HUFFMAN Coleen","BROOKER Gilian","MORNEAU Helene"
"women's 3m springboard","final",1,"BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","FABER Marc","MORNEAU Helene","MIN Suck Hong","BARBOSA Ana Virginia"
"women's 3m springboard","final",2,"BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","FABER Marc","MORNEAU Helene","MIN Suck Hong","BARBOSA Ana Virginia"
"women's 3m springboard","final",3,"BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","FABER Marc","MORNEAU Helene","MIN Suck Hong","BARBOSA Ana Virginia"
"women's 3m springboard","final",4,"BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","FABER Marc","MORNEAU Helene","MIN Suck Hong","BARBOSA Ana Virginia"
"women's 3m springboard","final",5,"BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","FABER Marc","MORNEAU Helene","MIN Suck Hong","BARBOSA Ana Virginia"
" men's 10m platform","final",1,"BUSHDAUPHINAIS Barb","HUFFMAN Coleen","FABER Marc","MIN Suck Hong","BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando"
" men's 10m platform","final",2,"BUSHDAUPHINAIS Barb","HUFFMAN Coleen","FABER Marc","MIN Suck Hong","BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando"
" men's 10m platform","final",3,"BUSHDAUPHINAIS Barb","HUFFMAN Coleen","FABER Marc","MIN Suck Hong","BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando"
" men's 10m platform","final",4,"BUSHDAUPHINAIS Barb","HUFFMAN Coleen","FABER Marc","MIN Suck Hong","BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando"
" men's 10m platform","final",5,"BUSHDAUPHINAIS Barb","HUFFMAN Coleen","FABER Marc","MIN Suck Hong","BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando"
" men's 10m platform","final",6,"BUSHDAUPHINAIS Barb","HUFFMAN Coleen","FABER Marc","MIN Suck Hong","BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando"
"women's 10m platform","final",1,"MIN Suck Hong","BARBOSA Ana Virginia","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","AXTELIUS Peter","BUSHDAUPHINAIS Barb","FABER Marc"
"women's 10m platform","final",2,"MIN Suck Hong","BARBOSA Ana Virginia","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","AXTELIUS Peter","BUSHDAUPHINAIS Barb","FABER Marc"
"women's 10m platform","final",3,"MIN Suck Hong","BARBOSA Ana Virginia","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","AXTELIUS Peter","BUSHDAUPHINAIS Barb","FABER Marc"
"women's 10m platform","final",4,"MIN Suck Hong","BARBOSA Ana Virginia","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","AXTELIUS Peter","BUSHDAUPHINAIS Barb","FABER Marc"
"women's 10m platform","final",5,"MIN Suck Hong","BARBOSA Ana Virginia","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","AXTELIUS Peter","BUSHDAUPHINAIS Barb","FABER Marc"
