"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio"
" men's 3m springboard","semifinal a",2,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio"
" men's 3m springboard","semifinal a",3,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio"
" men's 3m springboard","semifinal a",4,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio"
" men's 3m springboard","semifinal a",5,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio"
" men's 3m springboard","semifinal a",6,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio"
"women's 3m springboard","semifinal a",1,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee"
"women's 3m springboard","semifinal a",2,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee"
"women's 3m springboard","semifinal a",3,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee"
"women's 3m springboard","semifinal a",4,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee"
"women's 3m springboard","semifinal a",5,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee"
" men's 10m platform","semifinal a",1,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey"
" men's 10m platform","semifinal a",2,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey"
" men's 10m platform","semifinal a",3,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey"
" men's 10m platform","semifinal a",4,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey"
" men's 10m platform","semifinal a",5,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey"
" men's 10m platform","semifinal a",6,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey"
"women's 10m platform","semifinal a",1,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon"
"women's 10m platform","semifinal a",2,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon"
"women's 10m platform","semifinal a",3,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon"
"women's 10m platform","semifinal a",4,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon"
"women's 10m platform","semifinal a",5,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon"
