"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix"
" men's 3m springboard","semifinal a",2,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix"
" men's 3m springboard","semifinal a",3,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix"
" men's 3m springboard","semifinal a",4,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix"
" men's 3m springboard","semifinal a",5,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix"
" men's 3m springboard","semifinal a",6,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix"
"women's 3m springboard","semifinal a",1,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong"
"women's 3m springboard","semifinal a",2,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong"
"women's 3m springboard","semifinal a",3,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong"
"women's 3m springboard","semifinal a",4,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong"
"women's 3m springboard","semifinal a",5,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong"
" men's 10m platform","semifinal a",1,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal a",2,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal a",3,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal a",4,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal a",5,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal a",6,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos"
