"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","JA"
" men's 3m springboard","preliminary",1,"HWANG ChengChang","AZORIN Daniel","BARBOSA Ana","van der VOORT Ronald","WU Xiuren","RUIZ PEDREGUERA Rolando","FEOKTISTOV Eduard","WRIGHT Lisa"
" men's 3m springboard","preliminary",2,"HWANG ChengChang","AZORIN Daniel","BARBOSA Ana","van der VOORT Ronald","WU Xiuren","RUIZ PEDREGUERA Rolando","FEOKTISTOV Eduard","WRIGHT Lisa"
" men's 3m springboard","preliminary",3,"HWANG ChengChang","AZORIN Daniel","BARBOSA Ana","van der VOORT Ronald","WU Xiuren","RUIZ PEDREGUERA Rolando","FEOKTISTOV Eduard","WRIGHT Lisa"
" men's 3m springboard","preliminary",4,"HERNANDEZ MORONES Alejandro","LER Damien","SZEKFFY Nora","KOH Tony","MORNEAU Helene","BROOKER Gillian","VYAS Mayur","BARTH Michael"
" men's 3m springboard","preliminary",5,"HERNANDEZ MORONES Alejandro","LER Damien","SZEKFFY Nora","KOH Tony","MORNEAU Helene","BROOKER Gillian","VYAS Mayur","BARTH Michael"
" men's 3m springboard","preliminary",6,"HERNANDEZ MORONES Alejandro","LER Damien","SZEKFFY Nora","KOH Tony","MORNEAU Helene","BROOKER Gillian","VYAS Mayur","BARTH Michael"
"women's 3m springboard","preliminary",1,"MATSUMOTO Yukio","WRIGHT Lisa","AZORIN Daniel","AHLERING Julie","CHOBANOV Georgi Kirilov","DAW Yehia","HERNANDEZ MORONES Alejandro","VYAS Mayur"
"women's 3m springboard","preliminary",2,"MATSUMOTO Yukio","WRIGHT Lisa","AZORIN Daniel","AHLERING Julie","CHOBANOV Georgi Kirilov","DAW Yehia","HERNANDEZ MORONES Alejandro","VYAS Mayur"
"women's 3m springboard","preliminary",3,"MATSUMOTO Yukio","WRIGHT Lisa","AZORIN Daniel","AHLERING Julie","CHOBANOV Georgi Kirilov","DAW Yehia","HERNANDEZ MORONES Alejandro","VYAS Mayur"
"women's 3m springboard","preliminary",4,"AXTELIUS Peter","BEECH Paul","VYAS Bhumika","van der VOORT Ronald","RAO Lang","RUIZ PEDREGUERA Rolando","BEKETOV Andrei","SZEKFFY Nora"
"women's 3m springboard","preliminary",5,"AXTELIUS Peter","BEECH Paul","VYAS Bhumika","van der VOORT Ronald","RAO Lang","RUIZ PEDREGUERA Rolando","BEKETOV Andrei","SZEKFFY Nora"
" men's 10m platform","preliminary",1,"MORNEAU Helene","GOLOVAN Anatoly","AHLERING Julie","WU Ying Tan","TELLEFSEN Arne","WRIGHT Lisa","MATSUMOTO Yukio","AZORIN Daniel"
" men's 10m platform","preliminary",2,"MORNEAU Helene","GOLOVAN Anatoly","AHLERING Julie","WU Ying Tan","TELLEFSEN Arne","WRIGHT Lisa","MATSUMOTO Yukio","AZORIN Daniel"
" men's 10m platform","preliminary",3,"MORNEAU Helene","GOLOVAN Anatoly","AHLERING Julie","WU Ying Tan","TELLEFSEN Arne","WRIGHT Lisa","MATSUMOTO Yukio","AZORIN Daniel"
" men's 10m platform","preliminary",4,"FRASER Lindsey","KIM Chun Ok","FEOKTISTOV Eduard","MOLINA PALOMINO Alberto","VONG Seng Fat","BROOKER Gillian","SZEKFFY Nora","LIN Jasper"
" men's 10m platform","preliminary",5,"FRASER Lindsey","KIM Chun Ok","FEOKTISTOV Eduard","MOLINA PALOMINO Alberto","VONG Seng Fat","BROOKER Gillian","SZEKFFY Nora","LIN Jasper"
" men's 10m platform","preliminary",6,"FRASER Lindsey","KIM Chun Ok","FEOKTISTOV Eduard","MOLINA PALOMINO Alberto","VONG Seng Fat","BROOKER Gillian","SZEKFFY Nora","LIN Jasper"
"women's 10m platform","preliminary",1,"MORNEAU Helene","FRASER Lindsey","VONG Seng Fat","BEECH Paul","AHLERING Julie","WU Ying Tan","van der VOORT Ronald","SCHLEPPS Holdger"
"women's 10m platform","preliminary",2,"MORNEAU Helene","FRASER Lindsey","VONG Seng Fat","BEECH Paul","AHLERING Julie","WU Ying Tan","van der VOORT Ronald","SCHLEPPS Holdger"
"women's 10m platform","preliminary",3,"MORNEAU Helene","FRASER Lindsey","VONG Seng Fat","BEECH Paul","AHLERING Julie","WU Ying Tan","van der VOORT Ronald","SCHLEPPS Holdger"
"women's 10m platform","preliminary",4,"SZEKFFY Nora","MATSUMOTO Yukio","RUIZ PEDREGUERA Rolando","RAO Lang","BEKETOV Andrei","VYAS Mayur","BARTH Michael","DAW Yehia"
"women's 10m platform","preliminary",5,"SZEKFFY Nora","MATSUMOTO Yukio","RUIZ PEDREGUERA Rolando","RAO Lang","BEKETOV Andrei","VYAS Mayur","BARTH Michael","DAW Yehia"
" men's 3m springboard","semifinal",1,"WU Xiuren","PIKTURNIENE Ale","GOLOVAN Anatoly","BARBOSA Ana","KIM Chun Ok","DAW Yehia","MOLINA PALOMINO Alberto","SZEKFFY Nora"
" men's 3m springboard","semifinal",2,"WU Xiuren","PIKTURNIENE Ale","GOLOVAN Anatoly","BARBOSA Ana","KIM Chun Ok","DAW Yehia","MOLINA PALOMINO Alberto","SZEKFFY Nora"
" men's 3m springboard","semifinal",3,"WU Xiuren","PIKTURNIENE Ale","GOLOVAN Anatoly","BARBOSA Ana","KIM Chun Ok","DAW Yehia","MOLINA PALOMINO Alberto","SZEKFFY Nora"
" men's 3m springboard","semifinal",4,"WU Xiuren","PIKTURNIENE Ale","GOLOVAN Anatoly","BARBOSA Ana","KIM Chun Ok","DAW Yehia","MOLINA PALOMINO Alberto","SZEKFFY Nora"
" men's 3m springboard","semifinal",5,"WU Xiuren","PIKTURNIENE Ale","GOLOVAN Anatoly","BARBOSA Ana","KIM Chun Ok","DAW Yehia","MOLINA PALOMINO Alberto","SZEKFFY Nora"
" men's 3m springboard","semifinal",6,"WU Xiuren","PIKTURNIENE Ale","GOLOVAN Anatoly","BARBOSA Ana","KIM Chun Ok","DAW Yehia","MOLINA PALOMINO Alberto","SZEKFFY Nora"
" men's 3m springboard","semifinal",7,"BEKETOV Andrei","NG DO ROSARIO Sio Wan","RUIZ PEDREGUERA Rolando","FRASER Lindsey","TELLEFSEN Arne","BEECH Paul","HWANG ChengChang","WRIGHT Lisa"
"women's 3m springboard","semifinal",1,"LER Damien","BROOKER Gillian","SCHLEPPS Holdger","WU Xiuren","BARBOSA Ana","FEOKTISTOV Eduard","RUIZ PEDREGUERA Rolando","MATSUMOTO Yukio"
"women's 3m springboard","semifinal",2,"LER Damien","BROOKER Gillian","SCHLEPPS Holdger","WU Xiuren","BARBOSA Ana","FEOKTISTOV Eduard","RUIZ PEDREGUERA Rolando","MATSUMOTO Yukio"
"women's 3m springboard","semifinal",3,"LER Damien","BROOKER Gillian","SCHLEPPS Holdger","WU Xiuren","BARBOSA Ana","FEOKTISTOV Eduard","RUIZ PEDREGUERA Rolando","MATSUMOTO Yukio"
"women's 3m springboard","semifinal",4,"POLAZZO Valerio","KOH Tony","BARTH Michael","MORNEAU Helene","DAW Yehia","PIKTURNIENE Ale","NG DO ROSARIO Sio Wan","TELLEFSEN Arne"
"women's 3m springboard","semifinal",5,"POLAZZO Valerio","KOH Tony","BARTH Michael","MORNEAU Helene","DAW Yehia","PIKTURNIENE Ale","NG DO ROSARIO Sio Wan","TELLEFSEN Arne"
" men's 10m platform","semifinal",1,"SCHLEPPS Holdger","BROOKER Gillian","BARBOSA Ana","PIKTURNIENE Ale","WU Xiuren","FEOKTISTOV Eduard","LER Damien","KOH Tony"
" men's 10m platform","semifinal",2,"SCHLEPPS Holdger","BROOKER Gillian","BARBOSA Ana","PIKTURNIENE Ale","WU Xiuren","FEOKTISTOV Eduard","LER Damien","KOH Tony"
" men's 10m platform","semifinal",3,"SCHLEPPS Holdger","BROOKER Gillian","BARBOSA Ana","PIKTURNIENE Ale","WU Xiuren","FEOKTISTOV Eduard","LER Damien","KOH Tony"
" men's 10m platform","semifinal",4,"NG DO ROSARIO Sio Wan","BEECH Paul","HWANG ChengChang","FRASER Lindsey","RUIZ PEDREGUERA Rolando","DAW Yehia","TELLEFSEN Arne","AHLERING Julie"
" men's 10m platform","semifinal",5,"NG DO ROSARIO Sio Wan","BEECH Paul","HWANG ChengChang","FRASER Lindsey","RUIZ PEDREGUERA Rolando","DAW Yehia","TELLEFSEN Arne","AHLERING Julie"
" men's 10m platform","semifinal",6,"NG DO ROSARIO Sio Wan","BEECH Paul","HWANG ChengChang","FRASER Lindsey","RUIZ PEDREGUERA Rolando","DAW Yehia","TELLEFSEN Arne","AHLERING Julie"
