"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","JA"
" men's 3m springboard","semifinal a",1,"POLAZZO Valerio","TOULOUDIS Nikolaos","REIS Violeta","RIOS Cristina","VYAS Mayur","VAN DER VOORT Ronald","WU Xiuren","KIM Chun Ok"
" men's 3m springboard","semifinal a",2,"POLAZZO Valerio","TOULOUDIS Nikolaos","REIS Violeta","RIOS Cristina","VYAS Mayur","VAN DER VOORT Ronald","WU Xiuren","KIM Chun Ok"
" men's 3m springboard","semifinal a",3,"POLAZZO Valerio","TOULOUDIS Nikolaos","REIS Violeta","RIOS Cristina","VYAS Mayur","VAN DER VOORT Ronald","WU Xiuren","KIM Chun Ok"
" men's 3m springboard","semifinal a",4,"POLAZZO Valerio","TOULOUDIS Nikolaos","REIS Violeta","RIOS Cristina","VYAS Mayur","VAN DER VOORT Ronald","WU Xiuren","KIM Chun Ok"
" men's 3m springboard","semifinal a",5,"POLAZZO Valerio","TOULOUDIS Nikolaos","REIS Violeta","RIOS Cristina","VYAS Mayur","VAN DER VOORT Ronald","WU Xiuren","KIM Chun Ok"
" men's 3m springboard","semifinal a",6,"POLAZZO Valerio","TOULOUDIS Nikolaos","REIS Violeta","RIOS Cristina","VYAS Mayur","VAN DER VOORT Ronald","WU Xiuren","KIM Chun Ok"
"women's 3m springboard","semifinal a",1,"GENG Tao","VYAS Mayur","TOULOUDIS Nikolaos","KIM Chun Ok","RIOS Cristina","POLAZZO Valerio","REIS Violeta","VAN DER VOORT Ronald"
"women's 3m springboard","semifinal a",2,"GENG Tao","VYAS Mayur","TOULOUDIS Nikolaos","KIM Chun Ok","RIOS Cristina","POLAZZO Valerio","REIS Violeta","VAN DER VOORT Ronald"
"women's 3m springboard","semifinal a",3,"GENG Tao","VYAS Mayur","TOULOUDIS Nikolaos","KIM Chun Ok","RIOS Cristina","POLAZZO Valerio","REIS Violeta","VAN DER VOORT Ronald"
"women's 3m springboard","semifinal a",4,"GENG Tao","VYAS Mayur","TOULOUDIS Nikolaos","KIM Chun Ok","RIOS Cristina","POLAZZO Valerio","REIS Violeta","VAN DER VOORT Ronald"
"women's 3m springboard","semifinal a",5,"GENG Tao","VYAS Mayur","TOULOUDIS Nikolaos","KIM Chun Ok","RIOS Cristina","POLAZZO Valerio","REIS Violeta","VAN DER VOORT Ronald"
" men's 10m platform","semifinal a",1,"WU Xiuren","REIS Violeta","TOULOUDIS Nikolaos","RIOS Cristina","POLAZZO Valerio","VAN DER VOORT Ronald","KIM Chun Ok","VYAS Mayur"
" men's 10m platform","semifinal a",2,"WU Xiuren","REIS Violeta","TOULOUDIS Nikolaos","RIOS Cristina","POLAZZO Valerio","VAN DER VOORT Ronald","KIM Chun Ok","VYAS Mayur"
" men's 10m platform","semifinal a",3,"WU Xiuren","REIS Violeta","TOULOUDIS Nikolaos","RIOS Cristina","POLAZZO Valerio","VAN DER VOORT Ronald","KIM Chun Ok","VYAS Mayur"
" men's 10m platform","semifinal a",4,"WU Xiuren","REIS Violeta","TOULOUDIS Nikolaos","RIOS Cristina","POLAZZO Valerio","VAN DER VOORT Ronald","KIM Chun Ok","VYAS Mayur"
" men's 10m platform","semifinal a",5,"WU Xiuren","REIS Violeta","TOULOUDIS Nikolaos","RIOS Cristina","POLAZZO Valerio","VAN DER VOORT Ronald","KIM Chun Ok","VYAS Mayur"
" men's 10m platform","semifinal a",6,"WU Xiuren","REIS Violeta","TOULOUDIS Nikolaos","RIOS Cristina","POLAZZO Valerio","VAN DER VOORT Ronald","KIM Chun Ok","VYAS Mayur"
"women's 10m platform","semifinal a",1,"KIM Chun Ok","RIOS Cristina","VAN DER VOORT Ronald","VYAS Mayur","GENG Tao","TOULOUDIS Nikolaos","POLAZZO Valerio","REIS Violeta"
"women's 10m platform","semifinal a",2,"KIM Chun Ok","RIOS Cristina","VAN DER VOORT Ronald","VYAS Mayur","GENG Tao","TOULOUDIS Nikolaos","POLAZZO Valerio","REIS Violeta"
"women's 10m platform","semifinal a",3,"KIM Chun Ok","RIOS Cristina","VAN DER VOORT Ronald","VYAS Mayur","GENG Tao","TOULOUDIS Nikolaos","POLAZZO Valerio","REIS Violeta"
"women's 10m platform","semifinal a",4,"KIM Chun Ok","RIOS Cristina","VAN DER VOORT Ronald","VYAS Mayur","GENG Tao","TOULOUDIS Nikolaos","POLAZZO Valerio","REIS Violeta"
"women's 10m platform","semifinal a",5,"KIM Chun Ok","RIOS Cristina","VAN DER VOORT Ronald","VYAS Mayur","GENG Tao","TOULOUDIS Nikolaos","POLAZZO Valerio","REIS Violeta"
" men's 3m springboard","semifinal b",1,"POLAZZO Valerio","TOULOUDIS Nikolaos","REIS Violeta","RIOS Cristina","VYAS Mayur","VAN DER VOORT Ronald","WU Xiuren","KIM Chun Ok"
" men's 3m springboard","semifinal b",2,"POLAZZO Valerio","TOULOUDIS Nikolaos","REIS Violeta","RIOS Cristina","VYAS Mayur","VAN DER VOORT Ronald","WU Xiuren","KIM Chun Ok"
" men's 3m springboard","semifinal b",3,"POLAZZO Valerio","TOULOUDIS Nikolaos","REIS Violeta","RIOS Cristina","VYAS Mayur","VAN DER VOORT Ronald","WU Xiuren","KIM Chun Ok"
" men's 3m springboard","semifinal b",4,"POLAZZO Valerio","TOULOUDIS Nikolaos","REIS Violeta","RIOS Cristina","VYAS Mayur","VAN DER VOORT Ronald","WU Xiuren","KIM Chun Ok"
" men's 3m springboard","semifinal b",5,"POLAZZO Valerio","TOULOUDIS Nikolaos","REIS Violeta","RIOS Cristina","VYAS Mayur","VAN DER VOORT Ronald","WU Xiuren","KIM Chun Ok"
" men's 3m springboard","semifinal b",6,"POLAZZO Valerio","TOULOUDIS Nikolaos","REIS Violeta","RIOS Cristina","VYAS Mayur","VAN DER VOORT Ronald","WU Xiuren","KIM Chun Ok"
"women's 3m springboard","semifinal b",1,"GENG Tao","VYAS Mayur","TOULOUDIS Nikolaos","KIM Chun Ok","RIOS Cristina","POLAZZO Valerio","REIS Violeta","VAN DER VOORT Ronald"
"women's 3m springboard","semifinal b",2,"GENG Tao","VYAS Mayur","TOULOUDIS Nikolaos","KIM Chun Ok","RIOS Cristina","POLAZZO Valerio","REIS Violeta","VAN DER VOORT Ronald"
"women's 3m springboard","semifinal b",3,"GENG Tao","VYAS Mayur","TOULOUDIS Nikolaos","KIM Chun Ok","RIOS Cristina","POLAZZO Valerio","REIS Violeta","VAN DER VOORT Ronald"
"women's 3m springboard","semifinal b",4,"GENG Tao","VYAS Mayur","TOULOUDIS Nikolaos","KIM Chun Ok","RIOS Cristina","POLAZZO Valerio","REIS Violeta","VAN DER VOORT Ronald"
