"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"YEOH Ken Nee","FRASER Lindsey","STABILE Jeff","AZORIN Daniel","PETERSON Gordon","BEKETOV Andrey","KANETO Yuki"
" men's 3m springboard","semifinal a",2,"YEOH Ken Nee","FRASER Lindsey","STABILE Jeff","AZORIN Daniel","PETERSON Gordon","BEKETOV Andrey","KANETO Yuki"
" men's 3m springboard","semifinal a",3,"YEOH Ken Nee","FRASER Lindsey","STABILE Jeff","AZORIN Daniel","PETERSON Gordon","BEKETOV Andrey","KANETO Yuki"
" men's 3m springboard","semifinal a",4,"YEOH Ken Nee","FRASER Lindsey","STABILE Jeff","AZORIN Daniel","PETERSON Gordon","BEKETOV Andrey","KANETO Yuki"
" men's 3m springboard","semifinal a",5,"YEOH Ken Nee","FRASER Lindsey","STABILE Jeff","AZORIN Daniel","PETERSON Gordon","BEKETOV Andrey","KANETO Yuki"
" men's 3m springboard","semifinal a",6,"YEOH Ken Nee","FRASER Lindsey","STABILE Jeff","AZORIN Daniel","PETERSON Gordon","BEKETOV Andrey","KANETO Yuki"
"women's 3m springboard","semifinal a",1,"PETERSON Gordon","AZORIN Daniel","STABILE Jeff","BROOKER Gillian","YEOH Ken Nee","FRASER Lindsey","MATSUMOTO Yukio"
"women's 3m springboard","semifinal a",2,"PETERSON Gordon","AZORIN Daniel","STABILE Jeff","BROOKER Gillian","YEOH Ken Nee","FRASER Lindsey","MATSUMOTO Yukio"
"women's 3m springboard","semifinal a",3,"PETERSON Gordon","AZORIN Daniel","STABILE Jeff","BROOKER Gillian","YEOH Ken Nee","FRASER Lindsey","MATSUMOTO Yukio"
"women's 3m springboard","semifinal a",4,"PETERSON Gordon","AZORIN Daniel","STABILE Jeff","BROOKER Gillian","YEOH Ken Nee","FRASER Lindsey","MATSUMOTO Yukio"
"women's 3m springboard","semifinal a",5,"PETERSON Gordon","AZORIN Daniel","STABILE Jeff","BROOKER Gillian","YEOH Ken Nee","FRASER Lindsey","MATSUMOTO Yukio"
" men's 10m platform","semifinal a",1,"KANETO Yuki","BEKETOV Andrey","STABILE Jeff","AZORIN Daniel","YEOH Ken Nee","FRASER Lindsey","BROOKER Gillian"
