"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"LEE William","BUSH Barb","SZEKFFY Nora","MORNEAU Helene","AHLERING Julie","LANG Rao","AXTELIUS Peter"
" men's 3m springboard","semifinal a",2,"LEE William","BUSH Barb","SZEKFFY Nora","MORNEAU Helene","AHLERING Julie","LANG Rao","AXTELIUS Peter"
" men's 3m springboard","semifinal a",3,"LEE William","BUSH Barb","SZEKFFY Nora","MORNEAU Helene","AHLERING Julie","LANG Rao","AXTELIUS Peter"
" men's 3m springboard","semifinal a",4,"LEE William","BUSH Barb","SZEKFFY Nora","MORNEAU Helene","AHLERING Julie","LANG Rao","AXTELIUS Peter"
" men's 3m springboard","semifinal a",5,"LEE William","BUSH Barb","SZEKFFY Nora","MORNEAU Helene","AHLERING Julie","LANG Rao","AXTELIUS Peter"
" men's 3m springboard","semifinal a",6,"LEE William","BUSH Barb","SZEKFFY Nora","MORNEAU Helene","AHLERING Julie","LANG Rao","AXTELIUS Peter"
"women's 3m springboard","semifinal a",1,"BUSH Barb","SZEKFFY Nora","AXTELIUS Peter","AHLERING Julie","LEE William","RODRIGUEZ AMADEO Angelique","TELLEFSEN Arne"
"women's 3m springboard","semifinal a",2,"BUSH Barb","SZEKFFY Nora","AXTELIUS Peter","AHLERING Julie","LEE William","RODRIGUEZ AMADEO Angelique","TELLEFSEN Arne"
"women's 3m springboard","semifinal a",3,"BUSH Barb","SZEKFFY Nora","AXTELIUS Peter","AHLERING Julie","LEE William","RODRIGUEZ AMADEO Angelique","TELLEFSEN Arne"
"women's 3m springboard","semifinal a",4,"BUSH Barb","SZEKFFY Nora","AXTELIUS Peter","AHLERING Julie","LEE William","RODRIGUEZ AMADEO Angelique","TELLEFSEN Arne"
"women's 3m springboard","semifinal a",5,"BUSH Barb","SZEKFFY Nora","AXTELIUS Peter","AHLERING Julie","LEE William","RODRIGUEZ AMADEO Angelique","TELLEFSEN Arne"
" men's 10m platform","semifinal a",1,"AHLERING Julie","BUSH Barb","MORNEAU Helene","TELLEFSEN Arne","LANG Rao","AXTELIUS Peter","RODRIGUEZ AMADEO Angelique"
" men's 10m platform","semifinal a",2,"AHLERING Julie","BUSH Barb","MORNEAU Helene","TELLEFSEN Arne","LANG Rao","AXTELIUS Peter","RODRIGUEZ AMADEO Angelique"
" men's 10m platform","semifinal a",3,"AHLERING Julie","BUSH Barb","MORNEAU Helene","TELLEFSEN Arne","LANG Rao","AXTELIUS Peter","RODRIGUEZ AMADEO Angelique"
" men's 10m platform","semifinal a",4,"AHLERING Julie","BUSH Barb","MORNEAU Helene","TELLEFSEN Arne","LANG Rao","AXTELIUS Peter","RODRIGUEZ AMADEO Angelique"
" men's 10m platform","semifinal a",5,"AHLERING Julie","BUSH Barb","MORNEAU Helene","TELLEFSEN Arne","LANG Rao","AXTELIUS Peter","RODRIGUEZ AMADEO Angelique"
" men's 10m platform","semifinal a",6,"AHLERING Julie","BUSH Barb","MORNEAU Helene","TELLEFSEN Arne","LANG Rao","AXTELIUS Peter","RODRIGUEZ AMADEO Angelique"
"women's 10m platform","semifinal a",1,"MORNEAU Helene","TELLEFSEN Arne","LANG Rao","RODRIGUEZ AMADEO Angelique","AXTELIUS Peter","SZEKFFY Nora","AHLERING Julie"
"women's 10m platform","semifinal a",2,"MORNEAU Helene","TELLEFSEN Arne","LANG Rao","RODRIGUEZ AMADEO Angelique","AXTELIUS Peter","SZEKFFY Nora","AHLERING Julie"
"women's 10m platform","semifinal a",3,"MORNEAU Helene","TELLEFSEN Arne","LANG Rao","RODRIGUEZ AMADEO Angelique","AXTELIUS Peter","SZEKFFY Nora","AHLERING Julie"
"women's 10m platform","semifinal a",4,"MORNEAU Helene","TELLEFSEN Arne","LANG Rao","RODRIGUEZ AMADEO Angelique","AXTELIUS Peter","SZEKFFY Nora","AHLERING Julie"
"women's 10m platform","semifinal a",5,"MORNEAU Helene","TELLEFSEN Arne","LANG Rao","RODRIGUEZ AMADEO Angelique","AXTELIUS Peter","SZEKFFY Nora","AHLERING Julie"
" men's 3m springboard","semifinal b",1,"LEE William","BUSH Barb","SZEKFFY Nora","MORNEAU Helene","AHLERING Julie","LANG Rao","AXTELIUS Peter"
" men's 3m springboard","semifinal b",2,"LEE William","BUSH Barb","SZEKFFY Nora","MORNEAU Helene","AHLERING Julie","LANG Rao","AXTELIUS Peter"
" men's 3m springboard","semifinal b",3,"LEE William","BUSH Barb","SZEKFFY Nora","MORNEAU Helene","AHLERING Julie","LANG Rao","AXTELIUS Peter"
" men's 3m springboard","semifinal b",4,"LEE William","BUSH Barb","SZEKFFY Nora","MORNEAU Helene","AHLERING Julie","LANG Rao","AXTELIUS Peter"
" men's 3m springboard","semifinal b",5,"LEE William","BUSH Barb","SZEKFFY Nora","MORNEAU Helene","AHLERING Julie","LANG Rao","AXTELIUS Peter"
" men's 3m springboard","semifinal b",6,"LEE William","BUSH Barb","SZEKFFY Nora","MORNEAU Helene","AHLERING Julie","LANG Rao","AXTELIUS Peter"
"women's 3m springboard","semifinal b",1,"BUSH Barb","SZEKFFY Nora","AXTELIUS Peter","AHLERING Julie","LEE William","RODRIGUEZ AMADEO Angelique","TELLEFSEN Arne"
"women's 3m springboard","semifinal b",2,"BUSH Barb","SZEKFFY Nora","AXTELIUS Peter","AHLERING Julie","LEE William","RODRIGUEZ AMADEO Angelique","TELLEFSEN Arne"
"women's 3m springboard","semifinal b",3,"BUSH Barb","SZEKFFY Nora","AXTELIUS Peter","AHLERING Julie","LEE William","RODRIGUEZ AMADEO Angelique","TELLEFSEN Arne"
"women's 3m springboard","semifinal b",4,"BUSH Barb","SZEKFFY Nora","AXTELIUS Peter","AHLERING Julie","LEE William","RODRIGUEZ AMADEO Angelique","TELLEFSEN Arne"
"women's 3m springboard","semifinal b",5,"BUSH Barb","SZEKFFY Nora","AXTELIUS Peter","AHLERING Julie","LEE William","RODRIGUEZ AMADEO Angelique","TELLEFSEN Arne"
" men's 10m platform","semifinal b",1,"AHLERING Julie","BUSH Barb","MORNEAU Helene","TELLEFSEN Arne","LANG Rao","AXTELIUS Peter","RODRIGUEZ AMADEO Angelique"
" men's 10m platform","semifinal b",2,"AHLERING Julie","BUSH Barb","MORNEAU Helene","TELLEFSEN Arne","LANG Rao","AXTELIUS Peter","RODRIGUEZ AMADEO Angelique"
" men's 10m platform","semifinal b",3,"AHLERING Julie","BUSH Barb","MORNEAU Helene","TELLEFSEN Arne","LANG Rao","AXTELIUS Peter","RODRIGUEZ AMADEO Angelique"
" men's 10m platform","semifinal b",4,"AHLERING Julie","BUSH Barb","MORNEAU Helene","TELLEFSEN Arne","LANG Rao","AXTELIUS Peter","RODRIGUEZ AMADEO Angelique"
" men's 10m platform","semifinal b",5,"AHLERING Julie","BUSH Barb","MORNEAU Helene","TELLEFSEN Arne","LANG Rao","AXTELIUS Peter","RODRIGUEZ AMADEO Angelique"
" men's 10m platform","semifinal b",6,"AHLERING Julie","BUSH Barb","MORNEAU Helene","TELLEFSEN Arne","LANG Rao","AXTELIUS Peter","RODRIGUEZ AMADEO Angelique"
"women's 10m platform","semifinal b",1,"MORNEAU Helene","TELLEFSEN Arne","LANG Rao","RODRIGUEZ AMADEO Angelique","AXTELIUS Peter","SZEKFFY Nora","AHLERING Julie"
"women's 10m platform","semifinal b",2,"MORNEAU Helene","TELLEFSEN Arne","LANG Rao","RODRIGUEZ AMADEO Angelique","AXTELIUS Peter","SZEKFFY Nora","AHLERING Julie"
"women's 10m platform","semifinal b",3,"MORNEAU Helene","TELLEFSEN Arne","LANG Rao","RODRIGUEZ AMADEO Angelique","AXTELIUS Peter","SZEKFFY Nora","AHLERING Julie"
"women's 10m platform","semifinal b",4,"MORNEAU Helene","TELLEFSEN Arne","LANG Rao","RODRIGUEZ AMADEO Angelique","AXTELIUS Peter","SZEKFFY Nora","AHLERING Julie"
"women's 10m platform","semifinal b",5,"MORNEAU Helene","TELLEFSEN Arne","LANG Rao","RODRIGUEZ AMADEO Angelique","AXTELIUS Peter","SZEKFFY Nora","AHLERING Julie"
" men's 3m springboard","final",1,"LANG Rao","TELLEFSEN Arne","MORNEAU Helene","SZEKFFY Nora","BUSH Barb","LEE William","RODRIGUEZ AMADEO Angelique"
" men's 3m springboard","final",2,"LANG Rao","TELLEFSEN Arne","MORNEAU Helene","SZEKFFY Nora","BUSH Barb","LEE William","RODRIGUEZ AMADEO Angelique"
" men's 3m springboard","final",3,"LANG Rao","TELLEFSEN Arne","MORNEAU Helene","SZEKFFY Nora","BUSH Barb","LEE William","RODRIGUEZ AMADEO Angelique"
" men's 3m springboard","final",4,"LANG Rao","TELLEFSEN Arne","MORNEAU Helene","SZEKFFY Nora","BUSH Barb","LEE William","RODRIGUEZ AMADEO Angelique"
" men's 3m springboard","final",5,"LANG Rao","TELLEFSEN Arne","MORNEAU Helene","SZEKFFY Nora","BUSH Barb","LEE William","RODRIGUEZ AMADEO Angelique"
" men's 3m springboard","final",6,"LANG Rao","TELLEFSEN Arne","MORNEAU Helene","SZEKFFY Nora","BUSH Barb","LEE William","RODRIGUEZ AMADEO Angelique"
"women's 3m springboard","final",1,"TELLEFSEN Arne","LEE William","RODRIGUEZ AMADEO Angelique","BUSH Barb","LANG Rao","MORNEAU Helene","SZEKFFY Nora"
"women's 3m springboard","final",2,"TELLEFSEN Arne","LEE William","RODRIGUEZ AMADEO Angelique","BUSH Barb","LANG Rao","MORNEAU Helene","SZEKFFY Nora"
"women's 3m springboard","final",3,"TELLEFSEN Arne","LEE William","RODRIGUEZ AMADEO Angelique","BUSH Barb","LANG Rao","MORNEAU Helene","SZEKFFY Nora"
"women's 3m springboard","final",4,"TELLEFSEN Arne","LEE William","RODRIGUEZ AMADEO Angelique","BUSH Barb","LANG Rao","MORNEAU Helene","SZEKFFY Nora"
"women's 3m springboard","final",5,"TELLEFSEN Arne","LEE William","RODRIGUEZ AMADEO Angelique","BUSH Barb","LANG Rao","MORNEAU Helene","SZEKFFY Nora"
" men's 10m platform","final",1,"LEE William","SZEKFFY Nora","AHLERING Julie","AXTELIUS Peter","MORNEAU Helene","LANG Rao","TELLEFSEN Arne"
" men's 10m platform","final",2,"LEE William","SZEKFFY Nora","AHLERING Julie","AXTELIUS Peter","MORNEAU Helene","LANG Rao","TELLEFSEN Arne"
" men's 10m platform","final",3,"LEE William","SZEKFFY Nora","AHLERING Julie","AXTELIUS Peter","MORNEAU Helene","LANG Rao","TELLEFSEN Arne"
" men's 10m platform","final",4,"LEE William","SZEKFFY Nora","AHLERING Julie","AXTELIUS Peter","MORNEAU Helene","LANG Rao","TELLEFSEN Arne"
" men's 10m platform","final",5,"LEE William","SZEKFFY Nora","AHLERING Julie","AXTELIUS Peter","MORNEAU Helene","LANG Rao","TELLEFSEN Arne"
" men's 10m platform","final",6,"LEE William","SZEKFFY Nora","AHLERING Julie","AXTELIUS Peter","MORNEAU Helene","LANG Rao","TELLEFSEN Arne"
"women's 10m platform","final",1,"AHLERING Julie","SZEKFFY Nora","AXTELIUS Peter","TELLEFSEN Arne","LEE William","RODRIGUEZ AMADEO Angelique","BUSH Barb"
