"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","JA"
" men's 3m springboard","semifinal a",1,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","PETERSON Gordon"
" men's 3m springboard","semifinal a",2,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","PETERSON Gordon"
" men's 3m springboard","semifinal a",3,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","PETERSON Gordon"
" men's 3m springboard","semifinal a",4,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","PETERSON Gordon"
" men's 3m springboard","semifinal a",5,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","PETERSON Gordon"
" men's 3m springboard","semifinal a",6,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","PETERSON Gordon"
"women's 3m springboard","semifinal a",1,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","FRASER Lindsey"
"women's 3m springboard","semifinal a",2,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","FRASER Lindsey"
"women's 3m springboard","semifinal a",3,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","FRASER Lindsey"
"women's 3m springboard","semifinal a",4,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","FRASER Lindsey"
"women's 3m springboard","semifinal a",5,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","FRASER Lindsey"
" men's 10m platform","semifinal a",1,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","PETERSON Gordon"
" men's 10m platform","semifinal a",2,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","PETERSON Gordon"
" men's 10m platform","semifinal a",3,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","PETERSON Gordon"
" men's 10m platform","semifinal a",4,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","PETERSON Gordon"
" men's 10m platform","semifinal a",5,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","PETERSON Gordon"
" men's 10m platform","semifinal a",6,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","PETERSON Gordon"
