"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"van der VOORT Ronald","BUSH Barb","AHLERING Julie","PETERSON Gord","ZAMPIERI Marco","AXTELIUS Peter","HUSSAN Mohamed"
" men's 3m springboard","semifinal a",2,"van der VOORT Ronald","BUSH Barb","AHLERING Julie","PETERSON Gord","ZAMPIERI Marco","AXTELIUS Peter","HUSSAN Mohamed"
" men's 3m springboard","semifinal a",3,"van der VOORT Ronald","BUSH Barb","AHLERING Julie","PETERSON Gord","ZAMPIERI Marco","AXTELIUS Peter","HUSSAN Mohamed"
" men's 3m springboard","semifinal a",4,"van der VOORT Ronald","BUSH Barb","AHLERING Julie","PETERSON Gord","ZAMPIERI Marco","AXTELIUS Peter","HUSSAN Mohamed"
" men's 3m springboard","semifinal a",5,"van der VOORT Ronald","BUSH Barb","AHLERING Julie","PETERSON Gord","ZAMPIERI Marco","AXTELIUS Peter","HUSSAN Mohamed"
" men's 3m springboard","semifinal a",6,"van der VOORT Ronald","BUSH Barb","AHLERING Julie","PETERSON Gord","ZAMPIERI Marco","AXTELIUS Peter","HUSSAN Mohamed"
"women's 3m springboard","semifinal a",1,"BUSH Barb","AHLERING Julie","HUSSAN Mohamed","ZAMPIERI Marco","AXTELIUS Peter","GOLOVAN Anatoly","COSTA REIS Violeta"
"women's 3m springboard","semifinal a",2,"BUSH Barb","AHLERING Julie","HUSSAN Mohamed","ZAMPIERI Marco","AXTELIUS Peter","GOLOVAN Anatoly","COSTA REIS Violeta"
"women's 3m springboard","semifinal a",3,"BUSH Barb","AHLERING Julie","HUSSAN Mohamed","ZAMPIERI Marco","AXTELIUS Peter","GOLOVAN Anatoly","COSTA REIS Violeta"
"women's 3m springboard","semifinal a",4,"BUSH Barb","AHLERING Julie","HUSSAN Mohamed","ZAMPIERI Marco","AXTELIUS Peter","GOLOVAN Anatoly","COSTA REIS Violeta"
"women's 3m springboard","semifinal a",5,"BUSH Barb","AHLERING Julie","HUSSAN Mohamed","ZAMPIERI Marco","AXTELIUS Peter","GOLOVAN Anatoly","COSTA REIS Violeta"
" men's 10m platform","semifinal a",1,"ZAMPIERI Marco","BUSH Barb","PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","HUSSAN Mohamed","GOLOVAN Anatoly"
" men's 10m platform","semifinal a",2,"ZAMPIERI Marco","BUSH Barb","PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","HUSSAN Mohamed","GOLOVAN Anatoly"
" men's 10m platform","semifinal a",3,"ZAMPIERI Marco","BUSH Barb","PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","HUSSAN Mohamed","GOLOVAN Anatoly"
" men's 10m platform","semifinal a",4,"ZAMPIERI Marco","BUSH Barb","PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","HUSSAN Mohamed","GOLOVAN Anatoly"
" men's 10m platform","semifinal a",5,"ZAMPIERI Marco","BUSH Barb","PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","HUSSAN Mohamed","GOLOVAN Anatoly"
" men's 10m platform","semifinal a",6,"ZAMPIERI Marco","BUSH Barb","PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","HUSSAN Mohamed","GOLOVAN Anatoly"
"women's 10m platform","semifinal a",1,"PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","GOLOVAN Anatoly","HUSSAN Mohamed","AHLERING Julie","ZAMPIERI Marco"
"women's 10m platform","semifinal a",2,"PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","GOLOVAN Anatoly","HUSSAN Mohamed","AHLERING Julie","ZAMPIERI Marco"
"women's 10m platform","semifinal a",3,"PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","GOLOVAN Anatoly","HUSSAN Mohamed","AHLERING Julie","ZAMPIERI Marco"
"women's 10m platform","semifinal a",4,"PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","GOLOVAN Anatoly","HUSSAN Mohamed","AHLERING Julie","ZAMPIERI Marco"
"women's 10m platform","semifinal a",5,"PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","GOLOVAN Anatoly","HUSSAN Mohamed","AHLERING Julie","ZAMPIERI Marco"
