"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","year","competition"
" men's 3m springboard","semifinal a",1,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene","2015","World_Series_Beijing"
" men's 3m springboard","semifinal a",2,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene","2015","World_Series_Beijing"
" men's 3m springboard","semifinal a",3,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene","2015","World_Series_Beijing"
" men's 3m springboard","semifinal a",4,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene","2015","World_Series_Beijing"
" men's 3m springboard","semifinal a",5,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene","2015","World_Series_Beijing"
" men's 3m springboard","semifinal a",6,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene","2015","World_Series_Beijing"
"women's 3m springboard","semifinal a",1,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc","2015","World_Series_Beijing"
"women's 3m springboard","semifinal a",2,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc","2015","World_Series_Beijing"
"women's 3m springboard","semifinal a",3,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc","2015","World_Series_Beijing"
"women's 3m springboard","semifinal a",4,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc","2015","World_Series_Beijing"
"women's 3m springboard","semifinal a",5,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc","2015","World_Series_Beijing"
" men's 10m platform","semifinal a",1,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc","2015","World_Series_Beijing"
" men's 10m platform","semifinal a",2,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc","2015","World_Series_Beijing"
" men's 10m platform","semifinal a",3,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc","2015","World_Series_Beijing"
" men's 10m platform","semifinal a",4,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc","2015","World_Series_Beijing"
" men's 10m platform","semifinal a",5,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc","2015","World_Series_Beijing"
" men's 10m platform","semifinal a",6,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc","2015","World_Series_Beijing"
"women's 10m platform","semifinal a",1,"RAO Lang","KATANI Rikiko","FABER Marc","YEOH Ken Nee","LEE William","MORNEAU Helene","NOVOTNA Hana","2015","World_Series_Beijing"
"women's 10m platform","semifinal a",2,"RAO Lang","KATANI Rikiko","FABER Marc","YEOH Ken Nee","LEE William","MORNEAU Helene","NOVOTNA Hana","2015","World_Series_Beijing"
"women's 10m platform","semifinal a",3,"RAO Lang","KATANI Rikiko","FABER Marc","YEOH Ken Nee","LEE William","MORNEAU Helene","NOVOTNA Hana","2015","World_Series_Beijing"
"women's 10m platform","semifinal a",4,"RAO Lang","KATANI Rikiko","FABER Marc","YEOH Ken Nee","LEE William","MORNEAU Helene","NOVOTNA Hana","2015","World_Series_Beijing"
"women's 10m platform","semifinal a",5,"RAO Lang","KATANI Rikiko","FABER Marc","YEOH Ken Nee","LEE William","MORNEAU Helene","NOVOTNA Hana","2015","World_Series_Beijing"
" men's 3m springboard","semifinal b",1,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene","2015","World_Series_Beijing"
" men's 3m springboard","semifinal b",2,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene","2015","World_Series_Beijing"
" men's 3m springboard","semifinal b",3,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene","2015","World_Series_Beijing"
" men's 3m springboard","semifinal b",4,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene","2015","World_Series_Beijing"
" men's 3m springboard","semifinal b",5,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene","2015","World_Series_Beijing"
" men's 3m springboard","semifinal b",6,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene","2015","World_Series_Beijing"
"women's 3m springboard","semifinal b",1,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc","2015","World_Series_Beijing"
"women's 3m springboard","semifinal b",2,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc","2015","World_Series_Beijing"
"women's 3m springboard","semifinal b",3,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc","2015","World_Series_Beijing"
"women's 3m springboard","semifinal b",4,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc","2015","World_Series_Beijing"
"women's 3m springboard","semifinal b",5,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc","2015","World_Series_Beijing"
" men's 10m platform","semifinal b",1,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc","2015","World_Series_Beijing"
" men's 10m platform","semifinal b",2,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc","2015","World_Series_Beijing"
" men's 10m platform","semifinal b",3,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc","2015","World_Series_Beijing"
" men's 10m platform","semifinal b",4,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc","2015","World_Series_Beijing"
" men's 10m platform","semifinal b",5,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc","2015","World_Series_Beijing"
" men's 10m platform","semifinal b",6,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc","2015","World_Series_Beijing"
"women's 10m platform","semifinal b",1,"RAO Lang","KATANI Rikiko","FABER Marc","YEOH Ken Nee","LEE William","MORNEAU Helene","NOVOTNA Hana","2015","World_Series_Beijing"
"women's 10m platform","semifinal b",2,"RAO Lang","KATANI Rikiko","FABER Marc","YEOH Ken Nee","LEE William","MORNEAU Helene","NOVOTNA Hana","2015","World_Series_Beijing"
"women's 10m platform","semifinal b",3,"RAO Lang","KATANI Rikiko","FABER Marc","YEOH Ken Nee","LEE William","MORNEAU Helene","NOVOTNA Hana","2015","World_Series_Beijing"
"women's 10m platform","semifinal b",4,"RAO Lang","KATANI Rikiko","FABER Marc","YEOH Ken Nee","LEE William","MORNEAU Helene","NOVOTNA Hana","2015","World_Series_Beijing"
"women's 10m platform","semifinal b",5,"RAO Lang","KATANI Rikiko","FABER Marc","YEOH Ken Nee","LEE William","MORNEAU Helene","NOVOTNA Hana","2015","World_Series_Beijing"
" men's 3m springboard","final",1,"FABER Marc","CALDERON Felix","KATANI Rikiko","YEOH Ken Nee","MORNEAU Helene","LEE William","RAO Lang","2015","World_Series_Beijing"
" men's 3m springboard","final",2,"FABER Marc","CALDERON Felix","KATANI Rikiko","YEOH Ken Nee","MORNEAU Helene","LEE William","RAO Lang","2015","World_Series_Beijing"
" men's 3m springboard","final",3,"FABER Marc","CALDERON Felix","KATANI Rikiko","YEOH Ken Nee","MORNEAU Helene","LEE William","RAO Lang","2015","World_Series_Beijing"
" men's 3m springboard","final",4,"FABER Marc","CALDERON Felix","KATANI Rikiko","YEOH Ken Nee","MORNEAU Helene","LEE William","RAO Lang","2015","World_Series_Beijing"
" men's 3m springboard","final",5,"FABER Marc","CALDERON Felix","KATANI Rikiko","YEOH Ken Nee","MORNEAU Helene","LEE William","RAO Lang","2015","World_Series_Beijing"
" men's 3m springboard","final",6,"FABER Marc","CALDERON Felix","KATANI Rikiko","YEOH Ken Nee","MORNEAU Helene","LEE William","RAO Lang","2015","World_Series_Beijing"
"women's 3m springboard","final",1,"FABER Marc","YEOH Ken Nee","MORNEAU Helene","KATANI Rikiko","NOVOTNA Hana","WU Xiuren","CALDERON Felix","2015","World_Series_Beijing"
"women's 3m springboard","final",2,"FABER Marc","YEOH Ken Nee","MORNEAU Helene","KATANI Rikiko","NOVOTNA Hana","WU Xiuren","CALDERON Felix","2015","World_Series_Beijing"
"women's 3m springboard","final",3,"FABER Marc","YEOH Ken Nee","MORNEAU Helene","KATANI Rikiko","NOVOTNA Hana","WU Xiuren","CALDERON Felix","2015","World_Series_Beijing"
"women's 3m springboard","final",4,"FABER Marc","YEOH Ken Nee","MORNEAU Helene","KATANI Rikiko","NOVOTNA Hana","WU Xiuren","CALDERON Felix","2015","World_Series_Beijing"
"women's 3m springboard","final",5,"FABER Marc","YEOH Ken Nee","MORNEAU Helene","KATANI Rikiko","NOVOTNA Hana","WU Xiuren","CALDERON Felix","2015","World_Series_Beijing"
" men's 10m platform","final",1,"WU Xiuren","MORNEAU Helene","CALDERON Felix","FABER Marc","LEE William","NOVOTNA Hana","YEOH Ken Nee","2015","World_Series_Beijing"
" men's 10m platform","final",2,"WU Xiuren","MORNEAU Helene","CALDERON Felix","FABER Marc","LEE William","NOVOTNA Hana","YEOH Ken Nee","2015","World_Series_Beijing"
" men's 10m platform","final",3,"WU Xiuren","MORNEAU Helene","CALDERON Felix","FABER Marc","LEE William","NOVOTNA Hana","YEOH Ken Nee","2015","World_Series_Beijing"
" men's 10m platform","final",4,"WU Xiuren","MORNEAU Helene","CALDERON Felix","FABER Marc","LEE William","NOVOTNA Hana","YEOH Ken Nee","2015","World_Series_Beijing"
" men's 10m platform","final",5,"WU Xiuren","MORNEAU Helene","CALDERON Felix","FABER Marc","LEE William","NOVOTNA Hana","YEOH Ken Nee","2015","World_Series_Beijing"
" men's 10m platform","final",6,"WU Xiuren","MORNEAU Helene","CALDERON Felix","FABER Marc","LEE William","NOVOTNA Hana","YEOH Ken Nee","2015","World_Series_Beijing"
"women's 10m platform","final",1,"LEE William","NOVOTNA Hana","KATANI Rikiko","MORNEAU Helene","RAO Lang","FABER Marc","YEOH Ken Nee","2015","World_Series_Beijing"
"women's 10m platform","final",2,"LEE William","NOVOTNA Hana","KATANI Rikiko","MORNEAU Helene","RAO Lang","FABER Marc","YEOH Ken Nee","2015","World_Series_Beijing"
"women's 10m platform","final",3,"LEE William","NOVOTNA Hana","KATANI Rikiko","MORNEAU Helene","RAO Lang","FABER Marc","YEOH Ken Nee","2015","World_Series_Beijing"
